"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type","SYMBOL"
"Mfsd13",-0.101347757185219,7.80062859243179,-4.42869718350584,1.00182208532388e-05,1.93899176634637e-05,2.86762659832102,"GABAergic","Mfsd13"
"Gm106581",-0.101346284074548,7.69811189375483,-8.59648686792082,1.6847589556365e-17,7.33295944604162e-17,29.0106424265475,"GABAergic","Gm106581"
"Pls31",-0.101346147359935,7.976041220455,-3.3366397375184,0.000864283034289057,0.00138758751444485,-1.13459559149882,"GABAergic","Pls31"
"Mpv17l21",-0.101343491892486,7.74417889586752,-5.81596541119262,7.05416768913e-09,1.72912503663854e-08,9.75349030898787,"GABAergic","Mpv17l21"
"4930578G10Rik1",-0.101342365413588,7.69829086228252,-8.74682215525043,4.72952444858646e-18,2.1909790880099e-17,30.2517497637845,"GABAergic","4930578G10Rik1"
"Parp31",-0.101336262142792,7.69701556043856,-8.5622601449454,2.2435960343786e-17,9.61993628190312e-17,28.730880988418,"GABAergic","Parp31"
"Stat21",-0.101329074041828,7.8112606002766,-3.69853882970528,0.000222988420000483,0.000380492498070283,-0.0347977712916334,"GABAergic","Stat21"
"Tbc1d22b1",-0.101326809975454,7.75936106386569,-5.24893091494952,1.70051184893911e-07,3.78760672487038e-07,6.70911692381094,"GABAergic","Tbc1d22b1"
"Ccnd11",-0.101325305551063,7.7093212360859,-7.38211511376315,2.31610051831981e-13,7.42904361722973e-13,19.727851653175,"GABAergic","Ccnd11"
"Rlbp11",-0.101324980444289,7.6939984661425,-8.88741400646149,1.41607768936911e-18,7.15751219392161e-18,31.4293673747818,"GABAergic","Rlbp11"
"Slc1a51",-0.101324139089528,7.69533941086983,-8.72374160118147,5.75546063539788e-18,2.63699862628419e-17,30.0592744691163,"GABAergic","Slc1a51"
"Smn11",-0.10131563844866,7.74438556242429,-5.86009574934839,5.43835521488623e-09,1.34191615752843e-08,10.0044613110678,"GABAergic","Smn11"
"1600014C10Rik1",-0.101310324826049,7.73671532028309,-5.86126355590696,5.40091413875937e-09,1.33366253788581e-08,10.0065086013576,"GABAergic","1600014C10Rik1"
"Msrb31",-0.101306416688016,7.80605507213748,-4.81155042545515,1.61545929739643e-06,3.33864252913614e-06,4.59469614877031,"GABAergic","Msrb31"
"Magee11",-0.101302729276617,7.87262020375267,-4.48845739975865,7.60299962325329e-06,1.48913247398811e-05,3.17982655785149,"GABAergic","Magee11"
"Col23a11",-0.101301838376999,7.69778677833675,-8.4495035060692,5.72305320707422e-17,2.36466989424128e-16,27.8168707704642,"GABAergic","Col23a11"
"Cenpb1",-0.101296085860611,7.74839755811456,-5.20112315959798,2.19382041650397e-07,4.84951304190801e-07,6.45826590651094,"GABAergic","Cenpb1"
"Ccdc1381",-0.101291954540918,7.76326744468004,-5.04504581750003,4.96519846506547e-07,1.07190023725664e-06,5.68841695832663,"GABAergic","Ccdc1381"
"Ankrd34b1",-0.101288112825514,7.80339218255505,-5.75623101660676,1.00029743828305e-08,2.42349074786343e-08,9.44781315678164,"GABAergic","Ankrd34b1"
"B230398E01Rik1",-0.101286900656989,7.69400131184246,-8.81391388614985,2.66577398396226e-18,1.28038396785766e-17,30.811130701408,"GABAergic","B230398E01Rik1"
"Dennd6a1",-0.101278955525475,8.13821237445619,-2.62151969491014,0.00882355537077427,0.0126554041786541,-3.04045947663714,"GABAergic","Dennd6a1"
"Cenpo1",-0.101274395848553,7.71736487393218,-7.73141678077291,1.70977213641411e-14,5.85641655501287e-14,22.2657270029001,"GABAergic","Cenpo1"
"AI4641311",-0.101273883502766,7.69587390506213,-8.86831096362053,1.66989505379105e-18,8.32207543961204e-18,31.268486794032,"GABAergic","AI4641311"
