"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type"
"ZFP14",-0.0143103084428446,8.29156321702754,-0.738737688094043,0.460099568094372,0.474282662055358,-7.59679711649466,"Non-Neuronal"
"CEP104",0.0110217592619613,8.20067116842165,0.737481187243677,0.460862986208072,0.475046183258469,-7.67357198717611,"Non-Neuronal"
"MAGI1",0.0135438131908181,8.32903835942893,0.737431869031797,0.46089296514503,0.475053655448593,-7.5582675217077,"Non-Neuronal"
"ZNF471",-0.0132711420787768,8.24556855292803,-0.737019500326672,0.461143673341276,0.475288626730086,-7.63911261538358,"Non-Neuronal"
"ITGB8",-0.0214134956423102,8.8510479003594,-0.73653566120884,0.461437930644287,0.475568457540589,-6.86782834333088,"Non-Neuronal"
"SELENOI",-0.0151044917840526,8.36328993531363,-0.735033532554149,0.462352151098656,0.476487177414296,-7.53320616574319,"Non-Neuronal"
"TMEM260",-0.0146069938887035,8.32745275625558,-0.73428542937753,0.462807835959476,0.476933276049162,-7.56684896869086,"Non-Neuronal"
"JPX",-0.0221574905560136,8.77733801964317,-0.733396636556421,0.463349543209475,0.477467974217436,-6.96316575149629,"Non-Neuronal"
"VEGFA",-0.017250874069374,8.4635143754096,-0.732907788131668,0.463647640329549,0.47775159901827,-7.42433532726536,"Non-Neuronal"
"RBM26",-0.0186805793318001,8.54903724464979,-0.732331369697148,0.463999274415469,0.478090358671036,-7.29842640423292,"Non-Neuronal"
"ASCC3",-0.0131903126303801,8.29508971009989,-0.729500923561033,0.465728092668068,0.47984802251726,-7.60218805568677,"Non-Neuronal"
"DDX42",0.0137925795682303,8.29222273946098,0.729204011147916,0.465909652069623,0.480011423062955,-7.6011193459164,"Non-Neuronal"
"RPS6KC1",0.0125418031014757,8.25417216640596,0.728037805805535,0.466623157088493,0.480722826595825,-7.63850018011762,"Non-Neuronal"
"PDE6B",0.0107138776448092,8.15750365609664,0.726302610965238,0.467685901616279,0.481793934531754,-7.71346101205157,"Non-Neuronal"
"NUDT21",-0.0137656936891073,8.32570793786108,-0.723355774497526,0.469493803263091,0.483632534289447,-7.57972456160597,"Non-Neuronal"
"BAHCC1",0.01044287140056,8.16586398675516,0.723161882963775,0.469612892230157,0.483731367551024,-7.71001725429469,"Non-Neuronal"
"STMN4",-0.0148491913373157,8.36031651658983,-0.721933585963823,0.470367705160483,0.484484995212365,-7.54522212798086,"Non-Neuronal"
"INPP1",-0.0189736236359153,8.6058139295956,-0.721705227369754,0.4705081098997,0.484605731170103,-7.22458354465066,"Non-Neuronal"
"TRAF6",0.0117056917878795,8.21190452459274,0.719281963104032,0.471999462751285,0.486117812620207,-7.68007842405871,"Non-Neuronal"
"ARMC1",-0.0138856202164082,8.29581564600705,-0.718326077073851,0.472588460854798,0.486700445051014,-7.60942192309527,"Non-Neuronal"
"DEK",0.0144308731947156,8.30452919770917,0.71582701502346,0.474130244543091,0.48826420847256,-7.60128031432755,"Non-Neuronal"
"RANBP6",0.0112880406154154,8.25412704255692,0.714187763654549,0.475143072091404,0.489283120157191,-7.64843197501953,"Non-Neuronal"
"DDX5",-0.0262098452193449,9.57583046110426,-0.713441613483831,0.475604481344579,0.489734131157398,-6.26794048259553,"Non-Neuronal"
"CDK11B",0.00959944456106321,8.15639248453317,0.712828990758804,0.475983502712512,0.490100266365726,-7.7257316184917,"Non-Neuronal"
"U2AF1L4",0.00890067508470871,8.16869312219389,0.711489105537409,0.476813048484477,0.490930228746518,-7.71838657899505,"Non-Neuronal"
"AUP1",0.0153733596016679,8.36005444013279,0.708643991574942,0.478577130045024,0.492722266893646,-7.55333355649477,"Non-Neuronal"
"PCID2",0.0120674291137224,8.24163923883413,0.707799991875587,0.479101127874039,0.493237454931649,-7.66210264984148,"Non-Neuronal"
"SLC38A2",-0.0236662983405562,8.94143555659085,-0.706424338793373,0.479955874180453,0.49409308296579,-6.7924505969663,"Non-Neuronal"
"HSP90B1",-0.0243718082837034,8.95016918542628,-0.704521005896464,0.481139858607083,0.495287545923658,-6.79735319128453,"Non-Neuronal"
