"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type"
"CDH13",-0.840522488425628,7.95428760233488,-27.07408748438,1.91559935927888e-148,4.25550397663803e-144,327.847380746338,"Glutamatergic"
"NIPAL2",-0.572139598122442,7.78248156453464,-23.6687255156991,4.6099043043382e-116,5.12045120604366e-112,253.803036172266,"Glutamatergic"
"AC068205.1",-0.522143481427894,7.49807958293483,-23.1988148688112,7.57420310857421e-112,5.6086974018992e-108,244.253600030365,"Glutamatergic"
"AJ009632.2",-0.534833037636783,7.58354047690391,-22.4235636951661,4.93083740814547e-105,2.73846382554879e-101,228.626966146498,"Glutamatergic"
"IL17RC",-0.478123000884206,7.4499830034306,-22.2526491087771,1.48258794461319e-103,6.5871382379164e-100,225.273747458869,"Glutamatergic"
"GLP2R",-0.464066550065691,7.44093648177777,-21.7012232053597,7.57978024124107e-99,2.80641363431951e-95,214.494253049657,"Glutamatergic"
"MEG8",-0.70592479805694,8.28843369109636,-21.374259758179,4.24344045059098e-96,1.34668613728398e-92,207.933813314966,"Glutamatergic"
"AC098850.3",-0.621665579362458,7.87397940511539,-21.3533352971091,6.34543171802601e-96,1.76204707019935e-92,207.708648031653,"Glutamatergic"
"EGR1",0.704591790102854,7.82481645645822,21.2699070680352,3.14653825207352e-95,7.76670525220146e-92,205.848646940262,"Glutamatergic"
"NQO2",-0.614544141753965,7.97637279650758,-20.7653899000879,4.53654493990941e-91,1.00779345840088e-87,196.567783148143,"Glutamatergic"
"MAML2",-0.474859808844138,7.44194637630324,-20.3620319896731,8.39589158943541e-88,1.69558846963007e-84,189.211323800321,"Glutamatergic"
"CCDC144A",-0.591535344161179,7.89244003229116,-20.3297634599205,1.52482159082764e-87,2.82282597001967e-84,188.534584783359,"Glutamatergic"
"NPIPA5",-0.482380982099629,7.44114990618498,-20.3152929719293,1.99216442797451e-87,3.40430252057337e-84,188.351582001925,"Glutamatergic"
"PTPN14",-0.466494427761101,7.53068180912586,-20.1280917542766,6.2419658366937e-86,9.90466221872505e-83,184.913668540057,"Glutamatergic"
"FAM153C",-0.578510627346843,7.88757511893776,-20.0608028456964,2.13946576897027e-85,3.16854880384497e-82,183.61612937787,"Glutamatergic"
"XIST",-0.623752107275745,9.74560317306913,-19.8437719582944,1.1114133776536e-83,1.54312801153593e-80,178.617618582663,"Glutamatergic"
"KCNS1",-0.433440441739081,7.490398034641,-19.8127726540258,1.9483804711582e-83,2.54607483333996e-80,179.21010956301,"Glutamatergic"
"DGKG",-0.520678459071171,7.59704977294156,-19.7884857309309,3.02317908316012e-83,3.73110685180011e-80,178.762656372124,"Glutamatergic"
"ARHGEF28",-0.512383310277664,7.64874059779216,-19.6165455238903,6.69405863094848e-82,7.82676381508003e-79,175.674153028343,"Glutamatergic"
"RGN",-0.435631929902365,7.48574000010499,-19.3232628391765,1.25316792569313e-79,1.39195627346364e-76,170.496977313837,"Glutamatergic"
"CALCOCO2",-0.489125109663513,7.7502101804214,-19.0743481448247,1.01018256662789e-77,1.06862884369707e-74,166.098726208033,"Glutamatergic"
"ROS1",-0.383609863718522,7.35179676722979,-19.0711966274122,1.06759266830953e-77,1.07802596029528e-74,166.090193444186,"Glutamatergic"
"ZNF804B",-0.404071207313246,7.4423976902665,-19.0678978232515,1.13117470698296e-77,1.09256722241854e-74,166.025813106458,"Glutamatergic"
"FKBP5",-0.390196055160183,7.37302370346619,-19.0283987925676,2.25984852272553e-77,2.09177228884782e-74,165.343763140079,"Glutamatergic"
"DCBLD1",-0.405424547197537,7.45895114389517,-18.940871492945,1.04288127728833e-76,9.26704302998411e-74,163.81705060213,"Glutamatergic"
"NPIPA1",-0.549304962250436,7.99542644584124,-18.6032311498808,3.60036159064888e-74,3.07623202831788e-71,157.93761460266,"Glutamatergic"
"MROH1",-0.525093184645725,7.85395543582427,-18.5624512242331,7.24965469696915e-74,5.9648547812285e-71,157.269617316496,"Glutamatergic"
"ADAD2",-0.378289511266444,7.35116585111661,-18.4889937238673,2.54951002333841e-73,2.02276304173081e-70,156.071572144002,"Glutamatergic"
"SEMA3C",-0.473863582477661,7.62988996962904,-18.3981119947172,1.20123970483181e-72,9.20191035959955e-70,154.512177067165,"Glutamatergic"
"SOHLH1",-0.431506272168321,7.42656753453366,-18.3371608058592,3.38488445035834e-72,2.50650693549035e-69,153.498760357477,"Glutamatergic"
"MYO9B",-0.443390838346509,7.51415177141163,-18.3192746742041,4.58493568441268e-72,3.28562407191057e-69,153.191649458005,"Glutamatergic"
"C1QL2",-0.396851474755945,7.3617603264203,-18.2237052413418,2.31036025733807e-71,1.60389540989891e-68,151.593054231686,"Glutamatergic"
"CRHR2",-0.363168981583808,7.38349706213598,-18.2085717988126,2.98272333523119e-71,2.00791511794427e-68,151.338032996559,"Glutamatergic"
"SLC6A7",-0.44990023569521,7.722230078595,-18.1539958923123,7.48218139127132e-71,4.88872528256154e-68,150.397199486916,"Glutamatergic"
"STAC2",-0.418712384800704,7.48437835837512,-18.0848941301403,2.38946939161901e-70,1.51663035813761e-67,149.266715381575,"Glutamatergic"
"ANOS1",-0.43096054083377,7.44184107986797,-18.038314797385,5.21555786186497e-70,3.21843383059251e-67,148.493628725018,"Glutamatergic"
"LINC02306",-0.3607546290085,7.3710689785774,-17.9893527781703,1.18261959649362e-69,7.10051198273127e-67,147.681944416438,"Glutamatergic"
"SMYD2",-0.421723550438068,7.55534694579486,-17.979482113331,1.3945154736507e-69,8.15241085451326e-67,147.509250584669,"Glutamatergic"
"AC138969.1",-0.437715851634431,7.57832537876275,-17.8300606045962,1.67459547873854e-68,9.5387534769684e-66,145.039187980139,"Glutamatergic"
"LRRC37A2",-0.437866353650475,7.43795006278308,-17.7804473733931,3.80758785824986e-68,2.11463910677551e-65,144.23146642884,"Glutamatergic"
"ALS2CL",-0.367491154724513,7.37689379431167,-17.6628932594607,2.64573105955657e-67,1.43353452409876e-64,142.306688746624,"Glutamatergic"
"SLC12A8",-0.403689871256064,7.52479752809558,-17.551388368049,1.64714063695757e-66,8.71219744047916e-64,140.486208851975,"Glutamatergic"
"P4HA2",-0.371661568359254,7.45134408757587,-17.5362349497083,2.11022780736534e-66,1.09020257536328e-63,140.242245436727,"Glutamatergic"
"ITPR2",-0.443433249067367,7.49135866816163,-17.3971209451823,2.03433461471413e-65,1.0271078060426e-62,137.9909356995,"Glutamatergic"
"MICALL2",-0.413153017542505,7.49488420231463,-17.3757983672526,2.8751950905515e-65,1.41938797636892e-62,137.64701379897,"Glutamatergic"
"UPP1",-0.473124391743003,7.63393855736866,-17.3588729559333,3.782827572074e-65,1.82685901116574e-62,137.3688311659,"Glutamatergic"
"NRP1",-0.387470208442474,7.48578473366488,-17.311182674836,8.18477121577539e-65,3.86861047996703e-62,136.608290740279,"Glutamatergic"
"VAMP1",-0.429377394517159,7.50884027766493,-17.2762033130674,1.43998176846632e-64,6.66441562218318e-62,136.047178973984,"Glutamatergic"
"NPTX2",-0.520406799713724,7.76327407283529,-17.2562106335623,1.987915817687e-64,9.01256120202381e-62,135.714451472636,"Glutamatergic"
"SLC24A4",-0.465646133124344,7.64219882770494,-17.2480730006085,2.26651833784062e-64,1.00701409750259e-61,135.590573296476,"Glutamatergic"
"PSRC1",-0.405890099240498,7.65462345715702,-17.2291108615646,3.07609617218651e-64,1.33991130323771e-61,135.285508493486,"Glutamatergic"
"SYNJ2",-0.469502553059905,7.76351769083195,-17.2120973325693,4.04486190243502e-64,1.72801167620373e-61,135.005848811495,"Glutamatergic"
"VWA5B2",-0.470541637483723,7.74159674390104,-17.1769450857069,7.1163337376183e-64,2.9828179996451e-61,134.448795267959,"Glutamatergic"
"ALDOC",-0.499412935403734,7.71991550652682,-17.1526909504524,1.05024995625649e-63,4.32061162559963e-61,134.063965832659,"Glutamatergic"
"ANKRD29",-0.389274497798504,7.44801491116626,-17.1158550530958,1.89506689845341e-63,7.65434748166227e-61,133.488988555569,"Glutamatergic"
"EFCAB1",-0.344617642540491,7.35544183166889,-17.1096149715042,2.09411690130691e-63,8.30728695759516e-61,133.390232364933,"Glutamatergic"
"TNS1",-0.346722472502934,7.37813767762542,-17.0905694421127,2.83992773303309e-63,1.10682446647948e-60,133.087677142344,"Glutamatergic"
"SERPINE1",-0.34128858369667,7.32342703332706,-17.0767570477166,3.54144726920244e-63,1.35643536354021e-60,132.868112559183,"Glutamatergic"
"TIMP1",-0.395124222417947,7.37747085190897,-16.9917877328915,1.37245746829969e-62,5.16765129801317e-60,131.522926163552,"Glutamatergic"
"CHKA",-0.474106523404144,7.82211787374893,-16.9769489015868,1.7377317261745e-62,6.43395171616109e-60,131.271563968295,"Glutamatergic"
"TRIM36",-0.426465531000205,7.66736912495738,-16.9515352065764,2.60209217346395e-62,9.47630780877078e-60,130.880573594479,"Glutamatergic"
"NPIPB5",-0.547568990487038,8.36506213866891,-16.9219476272849,4.16078665609446e-62,1.49083670266352e-59,130.318615570819,"Glutamatergic"
"FAM196B",-0.353736744080605,7.42809234492063,-16.9164292111624,4.54111380390784e-62,1.60128322466369e-59,130.334660385094,"Glutamatergic"
"RGMA",-0.361031246295355,7.41116834469628,-16.8979587681248,6.08456036473535e-62,2.11200794535306e-59,130.044189184399,"Glutamatergic"
"ZYX",-0.433433595901168,7.69447481288312,-16.8478902531977,1.34299039821931e-61,4.58992795329876e-59,129.250101986233,"Glutamatergic"
"PRKCA",-0.477107871563255,7.759018521851,-16.8315415330436,1.73842852370558e-61,5.85139237183628e-59,128.99104324874,"Glutamatergic"
"ANO4",-0.399228772121802,7.48828241802608,-16.7719566730051,4.4449440650738e-61,1.47379749859126e-58,128.069312527957,"Glutamatergic"
"LINC01197",-0.365252140397012,7.40569848232293,-16.7207207924622,9.94147150469412e-61,3.24779102171735e-58,127.270120009906,"Glutamatergic"
"PDIA2",-0.473634078069035,7.58397894884028,-16.7185009815031,1.02937986339393e-60,3.31415560366611e-58,127.234117497058,"Glutamatergic"
"AC024610.2",-0.435323106537571,7.57795471998149,-16.691421044671,1.57379836740862e-60,4.99456153314036e-58,126.812939278498,"Glutamatergic"
"TNFRSF25",-0.45875866840203,7.70126646610513,-16.6868878415292,1.68961647192163e-60,5.28659576390689e-58,126.738281250048,"Glutamatergic"
"PAMR1",-0.329590022854083,7.34266412507002,-16.6546663853047,2.79756272623817e-60,8.62597084670044e-58,126.241865378732,"Glutamatergic"
"LRRFIP1",-0.530281795948618,8.05524965928053,-16.6538263023793,2.83455265275324e-60,8.62597084670044e-58,126.193453860215,"Glutamatergic"
"RASGRF1",-0.483693051706817,7.85017311745536,-16.6472499961731,3.1414722349628e-60,9.43078455401332e-58,126.112272885079,"Glutamatergic"
"FNDC9",-0.357416227548096,7.41045048787166,-16.6160496293204,5.11393333599347e-60,1.51474705412126e-57,125.643847596668,"Glutamatergic"
"HIP1R",-0.419036295025651,7.49098936288405,-16.6032891832323,6.24030901109887e-60,1.82405874581002e-57,125.446481741838,"Glutamatergic"
