"SYMBOL","FC","logFC","P.Value","adj.P.Val","AveExpr","t","B","Directory","DEG_test"
"Atp6v0c",1.4557802236939,0.541792571113913,1.31962562744751e-05,0.0231198409928804,9.34056262664932,4.36172703907158,2.59081292974374,"L2_3_IT","VehicleVsPCB_in_HETs"
"Snhg11",1.25627140074592,0.329148172997655,4.44362423106042e-06,0.00493242289647707,13.2361970232315,4.59782502057858,3.38348846330727,"L4","VehicleVsPCB_in_HETs"
"Apod",2.33759059142766,1.22502227656002,7.16622077245155e-05,0.0351861439927371,10.8011015156941,4.01879238173897,1.10395317391822,"Oligo","VehicleVsPCB_in_HETs"
"Mef2c",-1.63042698815272,-0.705249837474949,1.21653301116172e-07,0.000177248859726263,11.0537126757771,-5.31208287846045,7.08490904461321,"Pvalb","VehicleVsPCB_in_HETs"
"Erbb4",-1.57809529600482,-0.658184327608917,3.85868444819262e-07,0.000236047854672108,9.76544690370654,-5.09446998522379,6.13638054878523,"Pvalb","VehicleVsPCB_in_HETs"
"Tcf4",-1.58606058835695,-0.665447883811456,4.86028527121704e-07,0.000236047854672108,10.4215353919708,-5.04994657446447,5.88830560784691,"Pvalb","VehicleVsPCB_in_HETs"
"Elavl2",-1.48521524809818,-0.570672031941905,1.42093733892201e-06,0.000517576425702341,9.42207864709073,-4.83811247014795,4.95949255633196,"Pvalb","VehicleVsPCB_in_HETs"
"Kcnc2",-1.43563185045014,-0.521685835773413,2.43901045262236e-06,0.00062839287656847,9.09621364342366,-4.72819329366517,4.46565198322599,"Pvalb","VehicleVsPCB_in_HETs"
"Pde10a",1.47501162397392,0.560726323819193,2.58775378133893e-06,0.00062839287656847,8.85759647251653,4.71600911424424,4.40394071928143,"Pvalb","VehicleVsPCB_in_HETs"
"Phactr1",1.43146501641339,0.51749241273081,7.6161859207248e-06,0.00158525469807086,8.96757302406816,4.48862685921003,3.4168011570061,"Pvalb","VehicleVsPCB_in_HETs"
"Atp2b1",1.43391598348032,0.519960495610791,4.59908948195523e-05,0.00837609171901097,9.54846146214507,4.08496884549479,1.80355879984104,"Pvalb","VehicleVsPCB_in_HETs"
"Dock4",-1.41012674644727,-0.495824842236005,5.97282181944958e-05,0.00919253020542359,9.52447189296334,-4.02331067759087,1.56572708335137,"Pvalb","VehicleVsPCB_in_HETs"
"Arpp19",1.26028357225374,0.333748386308286,6.30921771134083e-05,0.00919253020542359,8.52476825106155,4.0102781064122,1.3971961166742,"Pvalb","VehicleVsPCB_in_HETs"
"St8sia4",-1.2455489294948,-0.316781696771813,9.08218045333098e-05,0.0120297608368211,8.5298484350186,-3.92265499623392,1.02788991401743,"Pvalb","VehicleVsPCB_in_HETs"
"Sgcz",1.28817412452995,0.365327617999864,0.000122883336525367,0.0149200851097883,8.60363771913406,3.84860233177899,0.806109234977391,"Pvalb","VehicleVsPCB_in_HETs"
"Calm2",1.34835646516793,0.431201952413803,0.000152755408418637,0.0164161866976749,9.36718681303261,3.79451794189956,0.72020231508847,"Pvalb","VehicleVsPCB_in_HETs"
"Zeb2",-1.32953144049356,-0.410917894162723,0.000157739611370932,0.0164161866976749,9.06331481360819,-3.78648025716042,0.657909708828852,"Pvalb","VehicleVsPCB_in_HETs"
"Cemip",-1.3321220801332,-0.413726301877788,0.000169321158506472,0.0164467285295953,9.10928745513786,-3.76869035354262,0.59464487959474,"Pvalb","VehicleVsPCB_in_HETs"
"Phlda1",-1.26420534539961,-0.338230820103869,0.00038622575097838,0.0343631933163737,8.75602299564786,-3.55594390745351,-0.219657807483308,"Pvalb","VehicleVsPCB_in_HETs"
"Zbtb20",1.25484323217751,0.327507139246081,0.000400943230184182,0.0343631933163737,8.56408813052833,3.54603254891824,-0.288651634542789,"Pvalb","VehicleVsPCB_in_HETs"
"Cacnb2",1.24199209428697,0.312655990330305,0.000521596188938402,0.0400703110385166,8.5743634643768,3.47561965608216,-0.52499655365663,"Pvalb","VehicleVsPCB_in_HETs"
"Gm42418",1.52843037093932,0.61205083041354,0.000522536657331376,0.0400703110385166,11.9334835012612,3.47513323598938,-0.32106321307997,"Pvalb","VehicleVsPCB_in_HETs"
"Nek7",-1.21057951264257,-0.275697840780715,0.000654859335182721,0.0477065025680612,8.56133034119614,-3.41370993397675,-0.768029291984643,"Pvalb","VehicleVsPCB_in_HETs"
"Celf2",1.35059628061151,0.433596489613337,0.000714860795160443,0.0495977227880365,9.50626936348784,3.38959564899466,-0.642507713152408,"Pvalb","VehicleVsPCB_in_HETs"
"Gm42418",2.9010730818864,1.53658663939908,1.16055667706983e-07,0.000193696909402955,12.3465636259556,5.31326010785397,6.98602689951858,"Sncg","VehicleVsPCB_in_HETs"
"Cnr1",2.68078311384632,1.42265450420094,6.20510301058015e-06,0.00517815846232913,11.8183768154504,4.52785182443871,3.42743326767116,"Sncg","VehicleVsPCB_in_HETs"
"Adarb2",2.50889188245903,1.32705030095791,4.06948185640117e-05,0.0190332074580355,11.7193031451941,4.10997994128504,1.80026152790655,"Sncg","VehicleVsPCB_in_HETs"
"Rpl26",1.97775013857596,0.983860173009634,4.56158357292643e-05,0.0190332074580355,8.55123574579415,4.08338457820453,1.81135490705348,"Sncg","VehicleVsPCB_in_HETs"
"Rpl32",2.00492274337153,1.00354664570654,7.28738399210356e-05,0.0243252877656417,8.77429146875719,3.97257925440734,1.39342427455031,"Sncg","VehicleVsPCB_in_HETs"
"Atp6v0c",1.37456823642937,0.458978527014361,3.05022217731964e-05,0.0332779239545573,9.51006203561757,4.18528804087318,1.96954390835978,"Sst","VehicleVsPCB_in_HETs"
"Gm42418",1.62211048065028,0.697872083709437,8.58014996991241e-05,0.0468047180858722,11.7618652685255,3.94071605841774,0.922516112703456,"Sst","VehicleVsPCB_in_HETs"
"Malat1",1.48003695559536,0.565633199495123,2.37819700938174e-09,1.29610447117293e-06,16.5053299133096,6.04346565968104,10.9285408050997,"Vip","VehicleVsPCB_in_HETs"
"Dgkb",1.86108001620076,0.896140084679372,2.72725773180192e-09,1.29610447117293e-06,9.20745425059861,6.02026172998094,10.8280483290231,"Vip","VehicleVsPCB_in_HETs"
"Pcp4",2.13540255386947,1.09450806409716,3.46243402806659e-09,1.29610447117293e-06,9.48244571923656,5.97963861261591,10.6028002754658,"Vip","VehicleVsPCB_in_HETs"
"Gm42418",2.40178554952574,1.26410734153166,6.18602073844075e-09,1.73672532231724e-06,12.1915994642857,5.87986204261321,9.91468683602111,"Vip","VehicleVsPCB_in_HETs"
"Hpca",1.68395434517645,0.751853025054907,7.91447361035203e-09,1.77759077288507e-06,8.99016111147274,5.83705413865486,9.809072607867,"Vip","VehicleVsPCB_in_HETs"
"Phactr1",1.8346563638382,0.875509867639387,6.33896144708804e-08,1.18644228417998e-05,9.29801667792568,5.4641335664164,7.85165615507007,"Vip","VehicleVsPCB_in_HETs"
"Pde10a",1.88801887826916,0.916873190255437,9.65675939369654e-08,1.54922011416017e-05,9.42246683144665,5.38598266581478,7.46112053310364,"Vip","VehicleVsPCB_in_HETs"
"Tcf4",-1.94543063151727,-0.960089538856006,2.44831954616973e-07,3.43682856293575e-05,10.4252285272695,-5.20967237260397,6.59932409096975,"Vip","VehicleVsPCB_in_HETs"
