"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Directory","DEG_test"
"Morphine addiction","5/92",0.000129705137420037,0.00108808198613475,0,0,11.2706270627063,100.874894448947,"GABRB3;GABRA1;GNG3;KCNJ6;GNAS","L2_3_IT","VehicleVsPCB_in_HETs"
"Oxytocin signaling pathway","6/154",0.000171110918946009,0.00135988151372881,0,0,8.00513513513513,69.4301265501646,"KCNJ6;CAMK2A;GNAS;CALM1;CALM2;ACTB","L2_3_IT","VehicleVsPCB_in_HETs"
"Endocrine and other factor-regulated calcium reabsorption","4/55",0.000206496850496816,0.00148898988078,0,0,15.2579777008843,129.467379902198,"GNAS;ATP1A1;ATP2B1;ATP1B1","L2_3_IT","VehicleVsPCB_in_HETs"
"Proximal tubule bicarbonate reclamation","3/22",0.000207078062889934,0.00148898988078,0,0,30.4675523760858,258.438414768821,"MDH1;ATP1A1;ATP1B1","L2_3_IT","VehicleVsPCB_in_HETs"
"cGMP-PKG signaling pathway","6/172",0.000310850103535583,0.00213356207426695,0,0,7.13060240963855,57.5881693565472,"ATP2B2;ATP1A1;ATP2B1;ATP1B1;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Necroptosis","6/176",0.000351512004520768,0.002307752725332,0,0,6.96141176470588,55.3659643386449,"HSP90AB1;H2AFZ;FTH1;CAMK2A;HMGB1;PPIA","L2_3_IT","VehicleVsPCB_in_HETs"
"Alcoholism","6/199",0.000672757107110442,0.00423276346556986,0,0,6.12466321243523,44.7353130615192,"GRIN2A;GNG3;H2AFZ;GNAS;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Oxidative phosphorylation","5/134",0.000738796363725741,0.00446233003690347,0,0,7.58500268631514,54.691572605699,"ATP6V0B;ATP6V1G2;COX4I1;ATP5G3;ATP6V0C","L2_3_IT","VehicleVsPCB_in_HETs"
"Retrograde endocannabinoid signaling","5/150",0.00122469271260931,0.00711263844630792,0,0,6.74257425742574,45.2094007758305,"GABRB3;GRIA2;GABRA1;GNG3;KCNJ6","L2_3_IT","VehicleVsPCB_in_HETs"
"GABAergic synapse","4/90",0.00134256422188029,0.00724025705371154,0,0,9.03237574099407,59.7326714619636,"GABRB3;GABRA1;GNG3;KCNJ6","L2_3_IT","VehicleVsPCB_in_HETs"
"GnRH signaling pathway","4/90",0.00134256422188029,0.00724025705371154,0,0,9.03237574099407,59.7326714619636,"CAMK2A;GNAS;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Melanogenesis","4/100",0.00197877767422309,0.0103032906485409,0,0,8.08741830065359,50.3464107348811,"CAMK2A;GNAS;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Cocaine addiction","3/48",0.00210459423843937,0.0103617181257301,0,0,12.8472491909385,79.1857238213709,"GRIA2;GRIN2A;GNAS","L2_3_IT","VehicleVsPCB_in_HETs"
"Glucagon signaling pathway","4/102",0.00212724014501743,0.0103617181257301,0,0,7.92156862745098,48.7408560348136,"CAMK2A;GNAS;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Tuberculosis","5/178",0.00259261139209574,0.0122338850064518,0,0,5.64327820065244,33.6062276145189,"ATP6V0B;CAMK2A;CALM1;CALM2;ATP6V0C","L2_3_IT","VehicleVsPCB_in_HETs"
"Glutamatergic synapse","4/114",0.0031825907702725,0.0145627638276106,0,0,7.05311942959002,40.5558578354638,"GRIA2;GRIN2A;GNG3;GNAS","L2_3_IT","VehicleVsPCB_in_HETs"
"Oocyte meiosis","4/116",0.00338765191696947,0.0150451599841879,0,0,6.92647058823529,39.3951205080315,"CAMK2A;CALM1;CALM2;YWHAH","L2_3_IT","VehicleVsPCB_in_HETs"
"Inflammatory mediator regulation of TRP channels","4/127",0.00467791231012912,0.0201818502522713,0,0,6.30352303523035,33.8177918873297,"CAMK2A;GNAS;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Rap1 signaling pathway","5/209",0.00513124614298385,0.0215227268775156,0,0,4.7781984080761,25.1926054747666,"GRIN2A;GNAS;CALM1;CALM2;ACTB","L2_3_IT","VehicleVsPCB_in_HETs"
"Serotonergic synapse","4/132",0.00536045625876178,0.0218764566235954,0,0,6.05575980392157,31.663788739331,"GABRB3;GNG3;KCNJ6;GNAS","L2_3_IT","VehicleVsPCB_in_HETs"
"Bile secretion","3/72",0.00662119669041707,0.0263105447434994,0,0,8.36850991979738,41.9888240929174,"GNAS;ATP1A1;ATP1B1","L2_3_IT","VehicleVsPCB_in_HETs"
"Thyroid hormone synthesis","3/73",0.00687870842213864,0.0266329479934086,0,0,8.24854368932039,41.0721746422415,"GNAS;ATP1A1;ATP1B1","L2_3_IT","VehicleVsPCB_in_HETs"
"Fluid shear stress and atherosclerosis","4/143",0.00708972182439031,0.0267636998870734,0,0,5.57342361404994,27.5834819396163,"HSP90AB1;CALM1;CALM2;ACTB","L2_3_IT","VehicleVsPCB_in_HETs"
"Glioma","3/75",0.00741141985329654,0.0272957170206775,0,0,8.01860841423948,39.3291352671485,"CAMK2A;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Renin secretion","3/76",0.00768668238386833,0.027635453332479,0,0,7.9083654741322,38.5000268171575,"GNAS;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Cardiac muscle contraction","3/78",0.00825517065778862,0.0289890876587461,0,0,7.69669902912621,36.9204150914715,"COX4I1;ATP1A1;ATP1B1","L2_3_IT","VehicleVsPCB_in_HETs"
"Collecting duct acid secretion","2/27",0.00895843965880029,0.0300605419661965,0,0,15.2838461538462,72.0657679929601,"ATP6V1G2;ATP6V0C","L2_3_IT","VehicleVsPCB_in_HETs"
"Phototransduction","2/27",0.00895843965880029,0.0300605419661965,0,0,15.2838461538462,72.0657679929601,"CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Rheumatoid arthritis","3/84",0.0101063032655586,0.0331750389804208,0,0,7.12441567781374,32.7338115198291,"ATP6V0B;ATP6V1G2;ATP6V0C","L2_3_IT","VehicleVsPCB_in_HETs"
"Phagosome","4/180",0.0154866621218345,0.049755020859511,0,0,4.39349376114082,18.311098441574,"ATP6V0B;ATP6V1G2;ATP6V0C;ACTB","L2_3_IT","VehicleVsPCB_in_HETs"
"Aldosterone-regulated sodium reabsorption","2/38",0.0172779045718736,0.0543534081323524,0,0,10.607905982906,43.0503489955045,"ATP1A1;ATP1B1","L2_3_IT","VehicleVsPCB_in_HETs"
"HIF-1 signaling pathway","3/104",0.0179051223519459,0.0551770096968127,0,0,5.70787272902048,22.9608794988942,"CAMK2A;ALDOA;GAPDH","L2_3_IT","VehicleVsPCB_in_HETs"
"Carbohydrate digestion and absorption","2/43",0.0218171654119452,0.0658832446926862,0,0,9.31191369606004,35.6186119787114,"ATP1A1;ATP1B1","L2_3_IT","VehicleVsPCB_in_HETs"
"Cholinergic synapse","3/113",0.0222519568167351,0.0658832446926862,0,0,5.23848190644307,19.9341278758058,"GNG3;KCNJ6;CAMK2A","L2_3_IT","VehicleVsPCB_in_HETs"
"Thyroid hormone signaling pathway","3/115",0.0232892216673089,0.0676283167646854,0,0,5.14441747572816,19.3417987891241,"ATP1A1;ATP1B1;ACTB","L2_3_IT","VehicleVsPCB_in_HETs"
"Ether lipid metabolism","2/47",0.0257636442505764,0.0734020807893779,0,0,8.48247863247863,31.0356157860108,"ENPP2;PAFAH1B1","L2_3_IT","VehicleVsPCB_in_HETs"
"Neurotrophin signaling pathway","3/121",0.0265566148223192,0.0742601636698184,0,0,4.88135593220339,17.7118848804242,"CAMK2A;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Kaposi sarcoma-associated herpesvirus infection","4/216",0.0279912537808961,0.076848714925733,0,0,3.64076951535331,13.0188936661789,"GNG3;UBB;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Platelet activation","3/125",0.0288643140692481,0.0778305611510082,0,0,4.72035651758714,16.7343683876882,"GNAS;ACTB;MYL12B","L2_3_IT","VehicleVsPCB_in_HETs"
"Amyotrophic lateral sclerosis (ALS)","2/52",0.0310690468506044,0.0823057206042326,0,0,7.63230769230769,26.4958861254551,"GRIA2;GRIN2A","L2_3_IT","VehicleVsPCB_in_HETs"
"Thermogenesis","4/231",0.0345689321445677,0.0899984267901676,0,0,3.39759868705191,11.4322397740161,"COX4I1;GNAS;ATP5G3;ACTB","L2_3_IT","VehicleVsPCB_in_HETs"
"Ras signaling pathway","4/233",0.0355083073974391,0.0908771935087,0,0,3.36758284099666,11.2409531283628,"GRIN2A;GNG3;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Apelin signaling pathway","3/138",0.0370742335408658,0.0933034877445124,0,0,4.26299892125135,14.0458697991485,"GNG3;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Neuroactive ligand-receptor interaction","5/348",0.0378351911573451,0.093602424252108,0,0,2.82178217821782,9.23996983702349,"GABRB3;GRIA2;GABRA1;GRIN2A;CCK","L2_3_IT","VehicleVsPCB_in_HETs"
"Vascular smooth muscle contraction","3/140",0.038432783467753,0.093602424252108,0,0,4.20034016015874,13.6882552084373,"GNAS;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Parkinson disease","3/144",0.0412253697255301,0.0981198830877131,0,0,4.08035529849205,13.0110348245742,"UBB;COX4I1;ATP5G3","L2_3_IT","VehicleVsPCB_in_HETs"
"Long-term depression","2/61",0.0415872352159843,0.0981198830877131,0,0,6.46512385919166,20.558848227077,"GRIA2;GNAS","L2_3_IT","VehicleVsPCB_in_HETs"
"Human papillomavirus infection","5/360",0.0427299345103918,0.0992649247856794,0,0,2.72472458513457,8.59066306306447,"ATP6V0B;ATP6V1G2;DLG2;GNAS;ATP6V0C","L2_3_IT","VehicleVsPCB_in_HETs"
"Human cytomegalovirus infection","4/255",0.046816434640809,0.107110327738821,0,0,3.06897898601672,9.3957435226852,"GNG3;GNAS;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Glycolysis / Gluconeogenesis","2/67",0.04923521030452,0.110962936656456,0,0,5.86656804733728,17.6650944045506,"ALDOA;GAPDH","L2_3_IT","VehicleVsPCB_in_HETs"
"Hippo signaling pathway","3/159",0.052578729967368,0.116755709192244,0,0,3.68521284540702,10.8545866427053,"DLG2;ACTB;YWHAH","L2_3_IT","VehicleVsPCB_in_HETs"
"Protein processing in endoplasmic reticulum","3/163",0.0558361734401483,0.120723739917095,0,0,3.59235436893204,10.3651398660358,"HSPA8;HSP90AB1;TUSC3","L2_3_IT","VehicleVsPCB_in_HETs"
"Adherens junction","2/72",0.0559646476436865,0.120723739917095,0,0,5.44615384615385,15.7014525877563,"WASF1;ACTB","L2_3_IT","VehicleVsPCB_in_HETs"
"Bacterial invasion of epithelial cells","2/74",0.0587419442365898,0.124130383884178,0,0,5.29433760683761,15.007336023342,"WASF1;ACTB","L2_3_IT","VehicleVsPCB_in_HETs"
"Tight junction","3/167",0.0591879976136477,0.124130383884178,0,0,3.50402557423633,9.90600819761231,"DLG2;ACTB;MYL12B","L2_3_IT","VehicleVsPCB_in_HETs"
"Influenza A","3/168",0.0600405401573749,0.124193446078954,0,0,3.48261253309797,9.7956671232034,"HSPA8;ACTB;KPNA1","L2_3_IT","VehicleVsPCB_in_HETs"
"Pertussis","2/76",0.0615661443346643,0.125628213439653,0,0,5.15072765072765,14.3583907276881,"CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Salmonella infection","2/78",0.0644359671930668,0.129352767337012,0,0,5.01467611336032,13.7506596503592,"WASF1;ACTB","L2_3_IT","VehicleVsPCB_in_HETs"
"Pathways in cancer","6/535",0.0651047040901516,0.129352767337012,0,0,2.19640831758034,6.00005703156153,"GNG3;HSP90AB1;CAMK2A;GNAS;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Antigen processing and presentation","2/90",0.0825439175414011,0.157773817072805,0,0,4.32823426573427,10.7964548642889,"HSPA8;HSP90AB1","L2_3_IT","VehicleVsPCB_in_HETs"
"Dilated cardiomyopathy (DCM)","2/90",0.0825439175414011,0.157773817072805,0,0,4.32823426573427,10.7964548642889,"GNAS;ACTB","L2_3_IT","VehicleVsPCB_in_HETs"
"Protein digestion and absorption","2/90",0.0825439175414011,0.157773817072805,0,0,4.32823426573427,10.7964548642889,"ATP1A1;ATP1B1","L2_3_IT","VehicleVsPCB_in_HETs"
"Phosphatidylinositol signaling system","2/98",0.0953765915314341,0.180023316515582,0,0,3.96594551282051,9.31966301758772,"CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Regulation of actin cytoskeleton","3/217",0.108420262369279,0.202116785404458,0,0,2.67852282007077,5.95098205422845,"WASF1;ACTB;MYL12B","L2_3_IT","VehicleVsPCB_in_HETs"
"C-type lectin receptor signaling pathway","2/112",0.119061263425659,0.219246960698469,0,0,3.45874125874126,7.36060641596207,"CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Leukocyte transendothelial migration","2/115",0.124313200350858,0.226160159674453,0,0,3.36640571817563,7.01879126674954,"ACTB;MYL12B","L2_3_IT","VehicleVsPCB_in_HETs"
"Human immunodeficiency virus 1 infection","3/238",0.132638774590629,0.238433987656964,0,0,2.43656269365834,4.92216322473376,"GNG3;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Lysosome","2/124",0.14038873666493,0.249396461604757,0,0,3.11664564943253,6.11903511234395,"ATP6V0B;ATP6V0C","L2_3_IT","VehicleVsPCB_in_HETs"
"Fatty acid elongation","1/29",0.142913628690414,0.250929743398285,0,0,6.75714285714286,13.14612161249,"TECR","L2_3_IT","VehicleVsPCB_in_HETs"
"Glyoxylate and dicarboxylate metabolism","1/31",0.151988004381425,0.259669288162345,0,0,6.30603174603175,11.8802717128302,"MDH1","L2_3_IT","VehicleVsPCB_in_HETs"
"Relaxin signaling pathway","2/131",0.153185238513812,0.259669288162345,0,0,2.94648181276088,5.52791627592033,"GNG3;GNAS","L2_3_IT","VehicleVsPCB_in_HETs"
"Biosynthesis of unsaturated fatty acids","1/32",0.156489438561413,0.259669288162345,0,0,6.10230414746544,11.3183508708304,"TECR","L2_3_IT","VehicleVsPCB_in_HETs"
"Citrate cycle (TCA cycle)","1/32",0.156489438561413,0.259669288162345,0,0,6.10230414746544,11.3183508708304,"MDH1","L2_3_IT","VehicleVsPCB_in_HETs"
"Pentose phosphate pathway","1/32",0.156489438561413,0.259669288162345,0,0,6.10230414746544,11.3183508708304,"ALDOA","L2_3_IT","VehicleVsPCB_in_HETs"
"Insulin signaling pathway","2/139",0.168075347324791,0.272442976535451,0,0,2.77330151600225,4.94574757960952,"CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Base excision repair","1/35",0.169852211639229,0.272442976535451,0,0,5.56302521008403,9.86227886490341,"HMGB1","L2_3_IT","VehicleVsPCB_in_HETs"
"Fructose and mannose metabolism","1/35",0.169852211639229,0.272442976535451,0,0,5.56302521008403,9.86227886490341,"ALDOA","L2_3_IT","VehicleVsPCB_in_HETs"
"Endocytosis","3/269",0.171404521661376,0.272442976535451,0,0,2.14920797138477,3.79062019493265,"HSPA8;ACAP2;UBB","L2_3_IT","VehicleVsPCB_in_HETs"
"Systemic lupus erythematosus","2/143",0.175612146864122,0.276223272671692,0,0,2.69408074195308,4.68629263630119,"GRIN2A;H2AFZ","L2_3_IT","VehicleVsPCB_in_HETs"
"Pyruvate metabolism","1/38",0.183005259440139,0.28488447603568,0,0,5.11119691119691,8.68004101766067,"MDH1","L2_3_IT","VehicleVsPCB_in_HETs"
"Ferroptosis","1/40",0.191659056189908,0.295311402904858,0,0,4.84859584859585,8.01006087680852,"FTH1","L2_3_IT","VehicleVsPCB_in_HETs"
"Vasopressin-regulated water reabsorption","1/43",0.204469782935511,0.311422208607152,0,0,4.5015873015873,7.14552741754015,"GNAS","L2_3_IT","VehicleVsPCB_in_HETs"
"Cushing syndrome","2/159",0.20623987324977,0.311422208607152,0,0,2.41756491915728,3.81664685805458,"CAMK2A;GNAS","L2_3_IT","VehicleVsPCB_in_HETs"
"Arginine and proline metabolism","1/50",0.23358466235033,0.342439650630095,0,0,3.85714285714286,5.60909836773195,"CKB","L2_3_IT","VehicleVsPCB_in_HETs"
"Cysteine and methionine metabolism","1/50",0.23358466235033,0.342439650630095,0,0,3.85714285714286,5.60909836773195,"MDH1","L2_3_IT","VehicleVsPCB_in_HETs"
"N-Glycan biosynthesis","1/50",0.23358466235033,0.342439650630095,0,0,3.85714285714286,5.60909836773195,"TUSC3","L2_3_IT","VehicleVsPCB_in_HETs"
"Axon guidance","2/180",0.247190016286068,0.358900889030733,0,0,2.13007778738116,2.97699233067955,"CAMK2A;MYL12B","L2_3_IT","VehicleVsPCB_in_HETs"
"Cellular senescence","2/185",0.257002034635177,0.367098721067799,0,0,2.0713535098781,2.81428851890206,"CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Regulation of lipolysis in adipocytes","1/56",0.257698439954879,0.367098721067799,0,0,3.43532467532468,4.6581807622046,"GNAS","L2_3_IT","VehicleVsPCB_in_HETs"
"Ovarian steroidogenesis","1/57",0.261643679052145,0.369235472307233,0,0,3.37380952380952,4.52350834583932,"GNAS","L2_3_IT","VehicleVsPCB_in_HETs"
"Legionellosis","1/58",0.265568146434737,0.371303612144863,0,0,3.31445279866332,4.39457926884219,"HSPA8","L2_3_IT","VehicleVsPCB_in_HETs"
"Huntington disease","2/192",0.270750315508023,0.375076125153316,0,0,1.99433198380567,2.60571086238696,"COX4I1;ATP5G3","L2_3_IT","VehicleVsPCB_in_HETs"
"Focal adhesion","2/199",0.284494637264486,0.387543104926365,0,0,1.92278406872315,2.41701816872002,"ACTB;MYL12B","L2_3_IT","VehicleVsPCB_in_HETs"
"Mitophagy","1/63",0.284882679780308,0.387543104926365,0,0,3.04639016897081,3.82528460693705,"UBB","L2_3_IT","VehicleVsPCB_in_HETs"
"Proteoglycans in cancer","2/203",0.292339819843026,0.392578174883334,0,0,1.88413700727134,2.31718401749424,"CAMK2A;ACTB","L2_3_IT","VehicleVsPCB_in_HETs"
"PI3K-Akt signaling pathway","3/357",0.2937836672968,0.392578174883334,0,0,1.60770116833964,1.96929182332175,"GNG3;HSP90AB1;YWHAH","L2_3_IT","VehicleVsPCB_in_HETs"
"Cortisol synthesis and secretion","1/69",0.307396940524649,0.407166122975632,0,0,2.77675070028011,3.27549788989155,"GNAS","L2_3_IT","VehicleVsPCB_in_HETs"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)","1/72",0.318389318291748,0.418059017930904,0,0,2.65902079141516,3.04319710891082,"ACTB","L2_3_IT","VehicleVsPCB_in_HETs"
"ECM-receptor interaction","1/83",0.357236291042761,0.46274862175102,0,0,2.30104529616725,2.36859900769747,"SV2B","L2_3_IT","VehicleVsPCB_in_HETs"
"ErbB signaling pathway","1/84",0.360657129318452,0.46274862175102,0,0,2.27320711417097,2.31827924701964,"CAMK2A","L2_3_IT","VehicleVsPCB_in_HETs"
"Gap junction","1/86",0.367444794602877,0.46274862175102,0,0,2.21949579831933,2.22211966490254,"GNAS","L2_3_IT","VehicleVsPCB_in_HETs"
"Hypertrophic cardiomyopathy (HCM)","1/86",0.367444794602877,0.46274862175102,0,0,2.21949579831933,2.22211966490254,"ACTB","L2_3_IT","VehicleVsPCB_in_HETs"
"Viral myocarditis","1/87",0.370811809482606,0.46274862175102,0,0,2.19357696566999,2.17616127443293,"ACTB","L2_3_IT","VehicleVsPCB_in_HETs"
"Fc gamma R-mediated phagocytosis","1/87",0.370811809482606,0.46274862175102,0,0,2.19357696566999,2.17616127443293,"WASF1","L2_3_IT","VehicleVsPCB_in_HETs"
"Taste transduction","1/88",0.374161070335591,0.463100996890773,0,0,2.16825396825397,2.13154305418704,"GABRA1","L2_3_IT","VehicleVsPCB_in_HETs"
"Progesterone-mediated oocyte maturation","1/90",0.38080670019745,0.467494404307439,0,0,2.11931514178705,2.04612116254049,"HSP90AB1","L2_3_IT","VehicleVsPCB_in_HETs"
"IL-17 signaling pathway","1/91",0.384103253250206,0.467738639038558,0,0,2.09566137566138,2.00522074899934,"HSP90AB1","L2_3_IT","VehicleVsPCB_in_HETs"
"Prostate cancer","1/97",0.403520627882355,0.487452918481884,0,0,1.9640873015873,1.78246357286679,"HSP90AB1","L2_3_IT","VehicleVsPCB_in_HETs"
