"SYMBOL","FC","logFC","P.Value","adj.P.Val","AveExpr","t","B","Directory","DEG_test"
"Abr",1.33796857744699,0.420044234294974,0.0126554478122783,0.999170828525545,9.26960545598223,2.49483594895832,-3.93590540415531,"Astro","VehicleVsPCB_in_HETs"
"Gli3",-1.33027254839627,-0.411721857709018,0.0164080513864034,0.999170828525545,9.21126055144781,-2.40107604733331,-4.01215224019977,"Astro","VehicleVsPCB_in_HETs"
"Kmt2e",-1.33576056519103,-0.417661428194512,0.0186528981441754,0.999170828525545,9.27202765859996,-2.35369038915597,-4.06584088651335,"Astro","VehicleVsPCB_in_HETs"
"Tax1bp1",-1.30020481515652,-0.378738902127686,0.0205329897398203,0.999170828525545,9.15760322735382,-2.31770497390515,-4.02368474875921,"Astro","VehicleVsPCB_in_HETs"
"Gm42418",1.48742255730733,0.572814556422511,0.0225751862217514,0.999170828525545,11.6677117885998,2.2817391270569,-4.29671429721682,"Astro","VehicleVsPCB_in_HETs"
"Aldoc",-1.44611292944327,-0.532180219222742,0.0254749622891099,0.999170828525545,10.2773294629603,-2.23525036840371,-4.30194665019611,"Astro","VehicleVsPCB_in_HETs"
"Agpat5",1.32562175578535,0.406669185030234,0.0340210006727701,0.999170828525545,9.45159642686981,2.12080324907718,-4.23418356737331,"Astro","VehicleVsPCB_in_HETs"
"Sat1",1.40170190482155,0.487179568919026,0.0407096408183705,0.999170828525545,10.2692173788725,2.04736914163442,-4.36107733194058,"Astro","VehicleVsPCB_in_HETs"
"Pabpn1",1.2482476213387,0.319904157470228,0.0457503989126933,0.999170828525545,9.18531425676806,1.99852833517242,-4.2011864198093,"Astro","VehicleVsPCB_in_HETs"
"Phf20l1",-1.28880105059813,-0.366029575206227,0.0478481683661508,0.999170828525545,9.326375305999,-1.97953331355568,-4.28091306416563,"Astro","VehicleVsPCB_in_HETs"
"Srsf7",1.31491326360237,0.394967637313938,0.0490633885317131,0.999170828525545,9.47895920944754,1.96884789999243,-4.32067529817668,"Astro","VehicleVsPCB_in_HETs"
"Dtx3",1.24431511192977,0.315351881650576,0.051872635424252,0.999170828525545,9.20361126397569,1.94497166097171,-4.2362558799868,"Astro","VehicleVsPCB_in_HETs"
"Fubp1",1.26873225136687,0.343387640194084,0.0536976802580209,0.999170828525545,9.29256678495909,1.93003438324076,-4.28449691586411,"Astro","VehicleVsPCB_in_HETs"
"Ppp3ca",-1.29547354284798,-0.373479551996761,0.0581436659697807,0.999170828525545,9.44167998819301,-1.89534529607885,-4.3428950500038,"Astro","VehicleVsPCB_in_HETs"
"Per3",1.32656586237738,0.407696305394267,0.0593270229085398,0.999170828525545,9.67566300563137,1.8864854515993,-4.37910197770041,"Astro","VehicleVsPCB_in_HETs"
"Bsg",1.24200141463526,0.312666816783924,0.0605102902301815,0.999170828525545,9.22716453296506,1.87777179324466,-4.281892810973,"Astro","VehicleVsPCB_in_HETs"
"Rpl37a",-1.22068192821038,-0.287687327783666,0.061578909653235,0.999170828525545,9.12447592491914,-1.87002300637868,-4.25361133348233,"Astro","VehicleVsPCB_in_HETs"
"Grk3",-1.27630007689693,-0.351967567781653,0.0620177104245387,0.999170828525545,9.35012376348201,-1.86687340346176,-4.33563688184062,"Astro","VehicleVsPCB_in_HETs"
"Nfat5",-1.26298142995488,-0.336833426846002,0.0720382504685318,0.999170828525545,9.35903083507478,-1.79951783834278,-4.36092005518214,"Astro","VehicleVsPCB_in_HETs"
"AI480526",1.2669103991989,0.341314495116122,0.0744044044728046,0.999170828525545,9.42762793053995,1.78474687578117,-4.37402479095098,"Astro","VehicleVsPCB_in_HETs"
"Auts2",1.28125007551189,0.357552089644916,0.0830645196433776,0.999170828525545,9.53699045753735,1.73375951387231,-4.41515795337923,"Astro","VehicleVsPCB_in_HETs"
