"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type","SYMBOL"
"AC149090.1",-0.31385385093367,9.93401172142566,-13.6237232926812,1.0003264496866e-41,9.07696220445624e-38,77.2374550402095,"Glutamatergic","AC149090.1"
"Ttr",0.286697306666041,7.72178812638786,19.7530346198851,1.5861346132692e-84,2.87851709616095e-80,181.50211305198,"Glutamatergic","Ttr"
"Pde1a",-0.254155472257704,9.08851272205039,-8.90850002895096,6.52530707468398e-19,1.97368787985608e-15,31.3623186538127,"Glutamatergic","Pde1a"
"Ahi1",-0.248360446835777,9.85401967533113,-10.3173974543482,8.89702524957827e-25,5.38210714097821e-21,42.320710058498,"Glutamatergic","Ahi1"
"Opcml",-0.241631904830081,9.70290588779785,-9.53150856779241,2.09902646256805e-21,7.61862644853701e-18,35.6301283850631,"Glutamatergic","Opcml"
"Lmo4",-0.193982302248664,8.61051536059058,-7.25549614188961,4.4393221951657e-13,8.05648191978672e-10,19.0553602468778,"Glutamatergic","Lmo4"
"2010111I01Rik",0.189717855231306,8.77016568755737,6.48165235747043,9.69844185057832e-11,8.00033285019525e-08,13.8773017671391,"Glutamatergic","2010111I01Rik"
"Gm28928",-0.184062146713615,8.6629052940376,-6.95030263948625,3.97899659575223e-12,4.51317688873197e-09,16.9536026900865,"Glutamatergic","Gm28928"
"Ogt",-0.171009433818591,9.41984834704339,-6.23398000034062,4.81561562653642e-10,3.01357904794424e-07,12.1426052575285,"Glutamatergic","Ogt"
"AY036118",0.167460709807868,8.1835891360702,6.61324607147526,4.04125191810995e-11,3.86003367420312e-08,14.8119394768267,"Glutamatergic","AY036118"
"Brd9",-0.164409338725463,8.77767424728928,-5.70321350658727,1.2243605134314e-08,4.1923952071232e-06,9.37469455268047,"Glutamatergic","Brd9"
"Psd3",-0.163741028166299,9.39739708985914,-5.98060526829784,2.33422351249857e-09,1.14490508931957e-06,10.7134967889816,"Glutamatergic","Psd3"
"Itm2b",0.161391607501313,9.00178721502746,5.67440682513194,1.44816304538628e-08,4.77841144503095e-06,9.15846983969761,"Glutamatergic","Itm2b"
"Uqcc2",0.153234965052873,8.19340352624,6.42383390467669,1.4172933483495e-10,1.11830607329768e-07,13.5958535409422,"Glutamatergic","Uqcc2"
"Fnbp1l",-0.15226163437443,8.8419022271295,-5.28555290179396,1.29169757707688e-07,3.25579550399879e-05,7.17624273606197,"Glutamatergic","Fnbp1l"
"Ckb",0.149531152085121,9.021808653053,5.24858047355367,1.57849460642606e-07,3.92418083800275e-05,6.95920078350641,"Glutamatergic","Ckb"
"Rps26",0.146323082161217,8.09461127742282,6.02470073867116,1.78143256113716e-09,8.98039947764366e-07,11.0893950349034,"Glutamatergic","Rps26"
"Ly6h",-0.143476433163876,8.73762831943514,-5.3577572714925,8.69872893941201e-08,2.28789177960071e-05,7.5494107000959,"Glutamatergic","Ly6h"
"Grin2b",-0.137069373452846,9.76579632349521,-5.48340234336556,4.32009221733289e-08,1.22501614937746e-05,7.90089421318462,"Glutamatergic","Grin2b"
"Negr1",0.135172662177103,8.74235393870159,4.59893778653302,4.32229068926953e-06,0.000585380085290026,3.9340738384765,"Glutamatergic","Negr1"
"N4bp2l2",-0.134935458567874,8.92003576799561,-4.77693965919872,1.81662374311267e-06,0.000299709888090989,4.73331375910864,"Glutamatergic","N4bp2l2"
"Usp7",0.132611136863234,8.17071700302757,5.4392477376072,5.53428641944438e-08,1.52176105969813e-05,7.8395123693711,"Glutamatergic","Usp7"
"Lsamp",-0.13254908420484,8.68068377302191,-4.68744704057754,2.81948770318906e-06,0.000423552252481688,4.31746511890481,"Glutamatergic","Lsamp"
"C1ql3",-0.132050265190266,8.31065573845266,-5.82012029736072,6.14432976399624e-09,2.65493563230961e-06,10.0023294824019,"Glutamatergic","C1ql3"
"Ralgapa1",-0.131254488209253,8.59329572872841,-4.80036970421345,1.61709565271228e-06,0.000271731962087244,4.8219376092302,"Glutamatergic","Ralgapa1"
"Myo1b",0.130512769969755,7.91867202917853,7.22312780266177,5.6256699009641e-13,9.28133248751786e-10,18.7728284266784,"Glutamatergic","Myo1b"
"Cacna2d3",0.129563113374076,8.46507726842042,4.59404121007587,4.4247024416769e-06,0.000586467903036596,3.87658245912551,"Glutamatergic","Cacna2d3"
"5330434G04Rik",-0.127580019866704,9.19210464302264,-4.28293474274105,1.86947464001657e-05,0.00172219420137161,2.61093524300916,"Glutamatergic","5330434G04Rik"
"Ntm",-0.126462606679391,9.16894088551452,-4.39580511903615,1.12017915184479e-05,0.00120290007382718,3.07244681615235,"Glutamatergic","Ntm"
"Cck",-0.126139443899067,9.26761115213894,-4.35143098436898,1.37202618502673e-05,0.0014067531754726,2.88599698284006,"Glutamatergic","Cck"
"Ntrk3",-0.125618803346082,8.61644199759119,-4.54558353504646,5.57178963961647e-06,0.000707110757900417,3.67783815815556,"Glutamatergic","Ntrk3"
"Cadps2",0.125096257109147,8.02952917568067,5.7118527569366,1.16406285341207e-08,4.1623811411163e-06,9.24021189347772,"Glutamatergic","Cadps2"
"Hpca",0.124831333595354,8.35737127421651,5.06710597224455,4.14412317143187e-07,8.95327944227924e-05,6.06495561824515,"Glutamatergic","Hpca"
"Camk4",0.124539849392876,8.51516721504984,4.49840922275821,6.95858099437631e-06,0.000841895519239608,3.4657690034359,"Glutamatergic","Camk4"
"Fut9",-0.124391537946387,8.99622448452202,-4.33601651024751,1.47152335292003e-05,0.00148362254493293,2.824223669943,"Glutamatergic","Fut9"
"Arc",0.124219547001278,8.10686422640261,6.14265458531862,8.56671242908446e-10,4.71117264130378e-07,11.7986356204004,"Glutamatergic","Arc"
"Nrxn1",-0.122389650477468,10.0297110268256,-5.71215251823988,1.16202334651125e-08,4.1623811411163e-06,8.8965549773851,"Glutamatergic","Nrxn1"
"Cox17",0.122312979366315,8.00054060937744,5.76995731093639,8.27285458007005e-09,3.26382097650242e-06,9.52843647546536,"Glutamatergic","Cox17"
"Actb",0.120381077587668,8.73881766126286,4.42252132010556,9.90531342101469e-06,0.0011028320734023,3.17249667607137,"Glutamatergic","Actb"
"mt-Co1",0.120356646655953,7.7650110464745,7.75983207315092,9.73338459869764e-15,2.52344948138807e-11,22.6435063709128,"Glutamatergic","mt-Co1"
"Klc2",0.119651689869157,8.0264044507875,5.70496496681479,1.21189588715249e-08,4.1923952071232e-06,9.18096928581583,"Glutamatergic","Klc2"
"Ptn",0.118512117210068,8.62162529078694,4.18865396947756,2.8411129430397e-05,0.00229157856401265,2.19075188887479,"Glutamatergic","Ptn"
"Scg5",0.118455896641075,8.73161378974544,4.21852174054721,2.4905852695133e-05,0.00211210941453866,2.32828828488605,"Glutamatergic","Scg5"
"Rbms1",0.117907981478382,7.97383859852923,5.55426154601107,2.89181298699137e-08,8.89502069286768e-06,8.30337838271511,"Glutamatergic","Rbms1"
"Gls",-0.116080735913785,9.16971174266494,-4.00701706923955,6.2137637653921e-05,0.00392917717123122,1.5329940760146,"Glutamatergic","Gls"
"Ktn1",-0.115730560105675,8.98436315861331,-4.00035950449082,6.39078311772959e-05,0.00401314643669746,1.49527106923159,"Glutamatergic","Ktn1"
"Gda",-0.115451761799694,8.63867880844361,-4.41638821894344,1.01896082449792e-05,0.00112756713676758,3.12432263414137,"Glutamatergic","Gda"
"Ypel3",0.114464597354672,8.74271062858668,4.11295527163514,3.95167169068784e-05,0.00293683229173598,1.90886274402159,"Glutamatergic","Ypel3"
"Calb1",0.114214614283442,7.95055127190834,6.3357248344321,2.51102060425807e-10,1.7726960014035e-07,12.8658441132351,"Glutamatergic","Calb1"
"Dkk3",-0.112438097201194,8.2688403387126,-5.01891487554988,5.32659414951102e-07,0.000108614641152052,5.74293255036478,"Glutamatergic","Dkk3"
"Gmcl1",0.112104165810125,8.12007920999499,5.28564771528203,1.29103137540797e-07,3.25579550399879e-05,7.00531428581106,"Glutamatergic","Gmcl1"
"Mef2c",-0.111225244652486,10.3751852348651,-6.05918361422223,1.44018408218983e-09,7.46756020673745e-07,10.4093398963889,"Glutamatergic","Mef2c"
"Akap6",0.111219022316229,8.82793938167961,3.98814579760558,6.72801812596665e-05,0.00415306370578377,1.43645534936936,"Glutamatergic","Akap6"
"4930447C04Rik",-0.110880688735701,8.29666299804001,-4.66434906323798,3.15430622127352e-06,0.000464398642352613,4.07436299989388,"Glutamatergic","4930447C04Rik"
"Ap1s1",0.11084151684449,8.05494000379654,5.87615304551503,4.394781784201e-09,1.993912495492e-06,10.1933325735535,"Glutamatergic","Ap1s1"
"Snrpn",0.110720136175786,8.68468533903325,4.17694019597551,2.99099861998597e-05,0.00236002795458719,2.15382866275094,"Glutamatergic","Snrpn"
"Scn1a",0.110337165407527,8.97012518429451,3.77063024491849,0.000164197080613964,0.00716174281274267,0.650726597307122,"Glutamatergic","Scn1a"
"Raph1",-0.109550477613089,8.58266777328633,-3.86560355740747,0.000111832557985643,0.00565330713739124,0.912992882890832,"Glutamatergic","Raph1"
"A830036E02Rik",0.108951503539844,8.77524616001072,3.55110354361622,0.000386178923750393,0.0103374287999498,-0.146403750541359,"Glutamatergic","A830036E02Rik"
"Sec62",-0.108849906785915,8.83469293871352,-3.83629767520063,0.0001260175699623,0.00608662122282162,0.862373146548173,"Glutamatergic","Sec62"
"Rock2",-0.108642466796558,8.93849607511461,-3.75265897780078,0.000176405391177822,0.00737650930667075,0.574822544239181,"Glutamatergic","Rock2"
"Tcf4",-0.108481063365213,9.43206702246216,-3.91262248478569,9.21770124136356e-05,0.00500846832719359,1.18729710820164,"Glutamatergic","Tcf4"
"Abi3bp",0.108283433744671,7.74996976306552,6.56268798053545,5.66810101233621e-11,5.14323485859388e-08,14.1785804293105,"Glutamatergic","Abi3bp"
"Col12a1",-0.108065311717952,7.76336555265284,-6.8766016200268,6.66741798255083e-12,7.11766479690191e-09,16.260790534748,"Glutamatergic","Col12a1"
"Gabrb1",-0.108053587681827,8.72479524800826,-3.82530802201957,0.00013176158579222,0.00623305706620739,0.800382861707806,"Glutamatergic","Gabrb1"
"Map7",0.107652399627355,8.21111042487825,4.20133620006245,2.68689723901612e-05,0.00222656671660568,2.02700648508249,"Glutamatergic","Map7"
"Unc5d",0.106852874186261,8.08687162750993,4.53129068164594,5.96124976395711e-06,0.000740991511755436,3.34131303400776,"Glutamatergic","Unc5d"
"Inf2",0.10646788898762,7.86644189002345,5.71102342298112,1.16972359597163e-08,4.1623811411163e-06,9.08682563506966,"Glutamatergic","Inf2"
"1700020I14Rik",-0.106451356384396,8.5496859454385,-4.05697892391779,5.02600657554243e-05,0.00344196103143185,1.63710514831588,"Glutamatergic","1700020I14Rik"
"Cycs",0.106137393243014,8.29412159711222,4.38039446553064,1.20217340350603e-05,0.00126110074721545,2.8821041536097,"Glutamatergic","Cycs"
"Gm42418",0.105867632709543,10.537470342268,4.89648518610992,9.9786052379559e-07,0.000191058141071696,4.73022212721523,"Glutamatergic","Gm42418"
"Rcan2",0.105402222527577,7.91422942015401,5.72528780006557,1.07598553553552e-08,4.0681219789372e-06,9.20913671307207,"Glutamatergic","Rcan2"
"Clk1",-0.105154203166878,9.00465370179883,-3.60371131820849,0.000315917112845582,0.00963790215178483,0.0649516823213387,"Glutamatergic","Clk1"
"Sft2d1",0.104859191402319,7.947894436122,5.52146829995396,3.48422176493975e-08,1.02207191121273e-05,8.0991274607238,"Glutamatergic","Sft2d1"
"Srp9",0.103981190355544,8.10642481309582,4.89233992178775,1.01904038393254e-06,0.000191058141071696,5.02068715358653,"Glutamatergic","Srp9"
"Ppp1r1a",0.103881526434551,8.08370445046499,4.82569234421808,1.42517719375155e-06,0.000246324911544792,4.69659857770555,"Glutamatergic","Ppp1r1a"
"Ociad2",0.103643809508389,8.39929414003437,3.87623712069888,0.000107068789538052,0.00550448836412625,0.909715034821448,"Glutamatergic","Ociad2"
"Cux1",0.10293291119287,8.07915277329679,4.49188768957315,7.17451151224695e-06,0.000862271754465283,3.15211399869961,"Glutamatergic","Cux1"
"Emc4",0.102908475952583,8.20165078296561,4.89421648139961,1.00939919689323e-06,0.000191058141071696,5.13607161891258,"Glutamatergic","Emc4"
"Slf1",0.102464254803742,8.08711119554107,4.57274150587337,4.89787479150771e-06,0.000639472170620734,3.5076896419718,"Glutamatergic","Slf1"
"Mapk10",-0.102381681240345,8.84324308896886,-3.66752042556925,0.000246758345429442,0.00878072637814413,0.258419340395123,"Glutamatergic","Mapk10"
"R3hdm2",-0.102294907603616,8.84976293433308,-3.55831867283377,0.000375745510898934,0.0102234325814001,-0.11740690237666,"Glutamatergic","R3hdm2"
"Kcna1",0.102020923832697,8.11598829781214,4.48143673876506,7.533969807932e-06,0.000899516342594407,3.13420939721217,"Glutamatergic","Kcna1"
"Lynx1",0.101899928409647,8.07448175201404,4.89192296141879,1.02119460458202e-06,0.000191058141071696,4.9906481313213,"Glutamatergic","Lynx1"
"Dynll1",-0.10176965521738,8.79669942476872,-3.73972440456575,0.000185715118859107,0.00750538316173177,0.506230960164197,"Glutamatergic","Dynll1"
"Ano3",-0.101574352640178,9.23506415636048,-3.50216083976602,0.00046442418062839,0.0113132483624752,-0.245341268288543,"Glutamatergic","Ano3"
"Zfpm2",-0.100774526401914,7.90383675164064,-5.7922045839853,7.25259040819315e-09,2.92488912728643e-06,9.56666163975086,"Glutamatergic","Zfpm2"
"Serinc1",-0.100731986372251,9.05280021219398,-3.6211757289825,0.000295372638895319,0.00936099056688696,0.132277966683981,"Glutamatergic","Serinc1"
"Zc3h7a",0.100608884619719,8.19610693214983,4.23713997558116,2.29333496113093e-05,0.00199383180632967,2.15621155192043,"Glutamatergic","Zc3h7a"
"Pcsk1",-0.100575005444188,7.99429425863212,-5.96704712456619,2.53552804698355e-09,1.21091481570151e-06,10.6523243963566,"Glutamatergic","Pcsk1"
"Ptgds",0.0998863252519202,7.79602992134717,5.86735886966088,4.6330347401693e-09,2.05073937718518e-06,9.93530551099306,"Glutamatergic","Ptgds"
"Atp2b2",0.0998172256996526,9.0057916132259,3.44881294104017,0.000566424420129534,0.0124281020675548,-0.444820714638328,"Glutamatergic","Atp2b2"
"Etnk1",-0.0996824994323422,9.05161918648206,-3.40712108940037,0.000660272719268934,0.012875371180294,-0.582570065809927,"Glutamatergic","Etnk1"
"Rbmx",0.0996419555578267,7.96188241067355,5.07459055184504,3.9848742212678e-07,8.71295149006844e-05,5.77319736690748,"Glutamatergic","Rbmx"
"Tmem135",0.0993753922144371,8.08499759513985,4.6863009198497,2.83526448665468e-06,0.000423552252481688,4.02280063844582,"Glutamatergic","Tmem135"
