"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type","SYMBOL"
"Rfx7",-0.514519605600436,7.9220120705534,-6.34051394770409,5.24953345867182e-10,3.99725725210566e-06,11.8451449908685,"Glutamatergic","Rfx7"
"Bmt2",-0.38650350774476,7.7517990761525,-5.79492899491982,1.23199192378526e-08,4.48423686364588e-06,9.28364934668205,"Glutamatergic","Bmt2"
"Mbd5",-0.372961915665588,7.97038170001771,-4.30225855598919,2.04587253029563e-05,0.000104412174141663,2.46398446662089,"Glutamatergic","Mbd5"
"Rps29",-0.362355934549926,7.95319158727168,-4.03692899441576,6.29307196478345e-05,0.000276426861700857,1.4952168319092,"Glutamatergic","Rps29"
"Ppip5k1",-0.359059930453635,7.92055711930058,-4.31409300061764,1.94315163305532e-05,9.98389211194312e-05,2.54326587958229,"Glutamatergic","Ppip5k1"
"Syt11",0.354219765333037,8.96894490279367,3.77280916811253,0.000181390186377595,0.000680056905057703,-0.0293868872714764,"Glutamatergic","Syt11"
"Tyro3",-0.353688076195695,7.99594579749397,-4.39193286639045,1.38061622588628e-05,7.47968854643262e-05,2.75657075968387,"Glutamatergic","Tyro3"
"Sugp2",-0.349279648317845,7.80470607267783,-5.08403424495564,5.28758671593258e-07,6.39084588070931e-06,5.8266835581038,"Glutamatergic","Sugp2"
"Baz2a",-0.34856927453603,7.83586861049613,-4.35448554503636,1.62839571375073e-05,8.58685537559206e-05,2.73490280715264,"Glutamatergic","Baz2a"
"B230334C09Rik",-0.348029739686444,8.60284093440434,-3.46587529615574,0.000575483382712028,0.0018327136000254,-0.691566329274364,"Glutamatergic","B230334C09Rik"
"Polr2l",-0.346610070765745,7.98123190567964,-4.01043254583372,7.0171285952641e-05,0.000303159862063197,1.39846849966349,"Glutamatergic","Polr2l"
"Zranb1",-0.344874084298545,7.82223289488432,-4.92787630573537,1.14296839507717e-06,1.13692133825148e-05,5.11660584319834,"Glutamatergic","Zranb1"
"Zmym5",-0.344530721233496,7.86262809321831,-4.74289954192536,2.77503642759309e-06,2.03279348990543e-05,4.28328932293083,"Glutamatergic","Zmym5"
"Rasa1",-0.340854829042396,7.89637250435826,-4.49989618704843,8.52144468707654e-06,4.9456204702549e-05,3.27858471476162,"Glutamatergic","Rasa1"
"Nvl",-0.337387095208294,8.57105074878872,-3.28130164530948,0.00110778926628755,0.00326062689109283,-1.15950875371945,"Glutamatergic","Nvl"
"Erg28",-0.336550309694393,7.89378944510797,-4.48265968209388,9.20992836400235e-06,5.2748401299508e-05,3.21231813076334,"Glutamatergic","Erg28"
"Gnl3",-0.328877621919769,8.09861578613576,-3.585324466815,0.000370774261200539,0.00125673741905698,-0.0703943230868882,"Glutamatergic","Gnl3"
"Eif4a1",-0.328474078913681,8.0046544439027,-4.17138411385057,3.58786936396302e-05,0.000169793855014894,1.95660667687463,"Glutamatergic","Eif4a1"
"Ift46",-0.327094917253305,7.685183905645,-5.7187141909341,1.87949351336707e-08,4.48423686364588e-06,8.96125080433489,"Glutamatergic","Ift46"
"Brd7",-0.324281109116829,7.88796306658726,-4.21208195960306,3.01752990650659e-05,0.000145839298464579,2.1640243861329,"Glutamatergic","Brd7"
"Dtnb",-0.323062955594501,7.86425822975047,-4.41847309753478,1.22730896114299e-05,6.78181718768018e-05,2.9703979660113,"Glutamatergic","Dtnb"
"Actl6a",-0.323051613478717,7.80855423537644,-4.26466580037871,2.40769499130543e-05,0.000120140193389877,2.39522038942312,"Glutamatergic","Actl6a"
"Sh3gl1",-0.322979483634581,7.91785613164033,-3.96403208551863,8.47921088900193e-05,0.000356909625839166,1.25651273340272,"Glutamatergic","Sh3gl1"
"Dmtn",-0.322250449631582,8.15441691611481,-3.45648583555517,0.000595404974705278,0.00188865285561064,-0.486260996414847,"Glutamatergic","Dmtn"
"Lrif1",-0.320002253454628,7.96379165611722,-3.95294223951316,8.8691439438198e-05,0.000370467861894684,1.20084613232252,"Glutamatergic","Lrif1"
"Cux1",-0.317381303478667,7.93952656313134,-3.64231820431629,0.000299308484158806,0.0010423436783111,0.165706132344366,"Glutamatergic","Cux1"
"Scg5",0.315989304853638,8.73734129055129,3.28228642273926,0.00110401204068067,0.00325014486130407,-1.21187499571323,"Glutamatergic","Scg5"
"Pcsk2",-0.315484425982504,9.12830525837624,-3.21434564157349,0.00139460151926115,0.00399969614629531,-1.50733627059061,"Glutamatergic","Pcsk2"
"Slc12a6",-0.314286019957366,7.99854300995697,-3.7410876619318,0.000205152076954583,0.000751777447829323,0.472835665491068,"Glutamatergic","Slc12a6"
"Hsf1",-0.314232361444125,7.75231587520347,-5.43575486963142,8.66049963742876e-08,4.48423686364588e-06,7.51195395632573,"Glutamatergic","Hsf1"
"Gpm6b",-0.31368274303693,9.4106223132719,-3.33934345956353,0.000904490302442324,0.0027243834683335,-1.32040606191215,"Glutamatergic","Gpm6b"
"Ganab",-0.310753114997774,7.74879084498139,-4.94403631503759,1.05631766286131e-06,1.07030350550331e-05,5.23308563798936,"Glutamatergic","Ganab"
"Syt7",-0.310323232300464,8.2960913246374,-3.32961732333509,0.000935939932948466,0.00281243670853832,-0.916660716700923,"Glutamatergic","Syt7"
"Ndrg3",-0.309727768614382,8.54540655778606,-3.17928796533276,0.00157082779752426,0.00444154038776401,-1.40742346200514,"Glutamatergic","Ndrg3"
"Sec61a1",-0.304970043890973,7.80953809490747,-4.35537539428637,1.62204334719452e-05,8.55928556286394e-05,2.74130149529945,"Glutamatergic","Sec61a1"
"Edc3",-0.303725762608052,7.67824626949091,-5.68956315693117,2.20635008940321e-08,4.48423686364588e-06,8.81695221740618,"Glutamatergic","Edc3"
"Calm3",0.303618031715713,8.20705549503705,4.10732055452609,4.69833742070075e-05,0.000214288651032799,1.53676288053277,"Glutamatergic","Calm3"
"Prkar1a",0.299741752004786,8.41807443061369,3.39650626433907,0.000738650673578293,0.0022757254921958,-0.783983313047326,"Glutamatergic","Prkar1a"
"Pdss1",0.297446469449064,7.87375674919559,3.8010709622799,0.000162429448978325,0.000618100469388036,0.702049627784648,"Glutamatergic","Pdss1"
"Hsf2",-0.297300125483797,7.73069531654965,-4.94003323883955,1.07717173544887e-06,1.08565508664136e-05,5.22085590897337,"Glutamatergic","Hsf2"
"Rasgef1a",-0.296764471877625,7.93533699767255,-3.74189952054786,0.000204508964901929,0.000749931862868162,0.492741185102753,"Glutamatergic","Rasgef1a"
"Epc2",-0.295189196716213,7.80011587187524,-4.5831472630128,5.83456153268303e-06,3.6080928739486e-05,3.66196831916426,"Glutamatergic","Epc2"
"Mical2",-0.294387228990269,8.80246142572787,-2.8067958155587,0.0052052270939333,0.012826926118691,-2.32469052714751,"Glutamatergic","Mical2"
"E330009J07Rik",-0.294270879475398,7.81985776348669,-3.83179753511569,0.00014394432571093,0.000556943124047702,0.808235496944974,"Glutamatergic","E330009J07Rik"
"Tcf12",-0.293108325168799,7.98585513906423,-4.23878348200302,2.69147557750835e-05,0.000132563006370875,2.20355391570594,"Glutamatergic","Tcf12"
"Lyrm9",-0.292503957447438,7.63421797133334,-5.41601701015886,9.61142473652979e-08,4.48423686364588e-06,7.47233778380561,"Glutamatergic","Lyrm9"
"Faim2",0.292367953901794,8.48422521094435,3.07971395192055,0.00218962860035019,0.00596526904378051,-1.62602310798068,"Glutamatergic","Faim2"
"Pbrm1",-0.291678411031265,7.92288029094836,-4.13552729902427,4.17416922521661e-05,0.000193334620227566,1.87043767776054,"Glutamatergic","Pbrm1"
"Zc2hc1a",-0.291183655683878,7.88331182855369,-4.08729005517061,5.10795787830169e-05,0.000230965233161094,1.71179541092809,"Glutamatergic","Zc2hc1a"
"Lmo7",-0.29051546301427,7.95843281931577,-3.94585559635902,9.12715391253215e-05,0.00037989574659162,1.18002459932841,"Glutamatergic","Lmo7"
"Sncb",0.290233018823326,8.62026090586851,3.10438099345065,0.00201831166673274,0.00554917284215072,-1.60838250382593,"Glutamatergic","Sncb"
"Fkbp8",-0.289045692739707,8.01141901537359,-3.62664787187973,0.000317547310015694,0.00109788631679191,0.0991942806602673,"Glutamatergic","Fkbp8"
"Rpl34",-0.28897027081088,8.17899603577828,-3.42650591493722,0.00066340722261653,0.00207114157302729,-0.586638754955025,"Glutamatergic","Rpl34"
"Cox6c",-0.288769109321548,8.25419726669787,-3.11921961621727,0.00192128900791629,0.00531214783978889,-1.45817585154872,"Glutamatergic","Cox6c"
"Sec62",-0.28874144926181,8.78229176258431,-2.88317241474555,0.00411190911026286,0.0104297574683866,-2.15652460522173,"Glutamatergic","Sec62"
"Lrp1b",0.288425975487565,8.96365302552041,2.84227643647582,0.0046681731959893,0.0116524519917589,-2.28021456845338,"Glutamatergic","Lrp1b"
"Otud7a",-0.287960903665295,7.91877435120452,-3.50727843728444,0.000494839785296489,0.00160817650240722,-0.264235821007293,"Glutamatergic","Otud7a"
