Samples,Exposure_duration,Weight,Pregnant,,,,,,
24_PCB_WT,31,37,Yes,,,,,,
25_VEHICLE_WT,47,31,No,,,,,,
27_PCB_HET,31,44,No,,,,,,
27_PCB_HET_2,31,44,No,,,,,,
28_VEHICLE_HET,47,45,No,,,,,,
29_VEHICLE_WT,47,24,No,,,,,,
30_VEHICLE_WT,39,37,Yes,,,,,,
30_VEHICLE_WT_2,39,37,Yes,,,,,,
31_PCB_WT,31,37,Yes,,,,,,
37_PCB_WT,31,29,Yes,,,,,,
37_PCB_WT_2,31,29,Yes,,,,,,
38_VEHICLE_HET,47,23,No,,,,,,
39_PCB_HET,47,28,No,,,,,,
40_VEHICLE_HET,47,37,No,,,,,,
40_VEHICLE_HET_2,47,37,No,,,,,,
