"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type","SYMBOL"
"Atp2b2",0.780139677990643,9.17995796348214,4.96182675970125,1.81976395391772e-06,0.0100551084985632,3.11531602893802,"Glutamatergic","Atp2b2"
"Rpl9-ps6",-0.767518069903396,8.59855247987461,-4.91843171789396,2.20539007864378e-06,0.0100551084985632,3.38819764352009,"Glutamatergic","Rpl9-ps6"
"Tox4",0.682135891724224,7.81576154835789,4.34481485961571,2.51076510772773e-05,0.0231874989675159,2.31045409353966,"Glutamatergic","Tox4"
"Rasal2",0.640495373706308,8.5040086007089,3.92937677913179,0.000127979052523784,0.0357244383759247,0.444877443585035,"Glutamatergic","Rasal2"
"Cbwd1",0.598339752813034,7.85313816859937,4.12997122284384,5.91420611976988e-05,0.0255947752135289,1.57388363621368,"Glutamatergic","Cbwd1"
"Nars2",0.593659275733915,7.67036435897371,5.36739336181633,2.86496980394583e-07,0.00391870569783711,6.4059183790608,"Glutamatergic","Nars2"
"Vps39",0.590607404401695,7.66250963442739,4.52529439418672,1.19429112863106e-05,0.0136129283811797,3.05460367198537,"Glutamatergic","Vps39"
"Prkaa2",0.583992652234442,7.82715068444753,3.99219588630751,0.000100794672038541,0.0324652159283813,1.11524365350104,"Glutamatergic","Prkaa2"
"Zfp35",0.576876864314369,7.60244683523032,4.85050667868746,2.97278212433725e-06,0.0101654284741712,4.31730675369107,"Glutamatergic","Zfp35"
"Gm26945",0.575679435318174,7.62653483085112,4.63957984668549,7.38097359338167e-06,0.0122632037437384,3.49279795379128,"Glutamatergic","Gm26945"
"Lmna",0.551543770019615,7.60947453153828,4.56140790075277,1.02672517561628e-05,0.0127668608655268,3.19965397556229,"Glutamatergic","Lmna"
"Dctn2",0.545065316625854,7.82978165868922,3.97644157564899,0.000107042319068683,0.0325361075604766,1.07142353604503,"Glutamatergic","Dctn2"
"Nicn1",0.543539753689641,7.82233864303254,3.6864753820764,0.000313962098539349,0.0466779737371871,0.147601684145856,"Glutamatergic","Nicn1"
"Mef2c",0.543184232597543,10.0262838657651,3.81291271649694,0.000197812264072169,0.042157583924865,-0.37509981112787,"Glutamatergic","Mef2c"
"Mrps5",0.539336145105548,7.98056265959541,3.77372029991224,0.0002285423331234,0.0424391765460307,0.347342235838044,"Glutamatergic","Mrps5"
"Ikbkb",0.533088640021581,7.8358137173536,3.84338585931853,0.000176672117379199,0.0416316266399723,0.630498467364225,"Glutamatergic","Ikbkb"
"Galk2",0.526747365491894,7.60739357179076,3.91649581109566,0.000134355841346879,0.03660428646204,0.893866734112246,"Glutamatergic","Galk2"
"Tmem214",0.525683008530941,7.74983268713651,4.72928822499005,5.03019266443637e-06,0.0114671625440268,3.7872981564418,"Glutamatergic","Tmem214"
"Rps6ka3",0.524909331255299,7.75377733622552,4.22096906713504,4.12970627350395e-05,0.0252662800330522,1.93295386995966,"Glutamatergic","Rps6ka3"
"Ube2j1",0.517043976736285,7.71424272790497,4.27602287074399,3.314292605514e-05,0.025184941254567,2.13580691557324,"Glutamatergic","Ube2j1"
"Myo1b",0.514263029634744,7.71731443174128,4.17987022974547,4.86030405129448e-05,0.0252662800330522,1.79519337744544,"Glutamatergic","Myo1b"
"Dusp26",0.513367953900075,7.66264291524048,4.16927960184645,5.06773602809574e-05,0.0252662800330522,1.76390166108258,"Glutamatergic","Dusp26"
"Arl16",0.511101883988886,7.7374678858165,4.65598325496892,6.88374849238258e-06,0.0122632037437384,3.52091685205395,"Glutamatergic","Arl16"
"Csgalnact1",0.508622404816416,7.79706041592907,4.14745172050254,5.52230500988431e-05,0.0252662800330522,1.65934037164842,"Glutamatergic","Csgalnact1"
"Kctd20",0.502583785077749,7.70464289147529,4.08539035022312,7.03768961604598e-05,0.0283122113436109,1.46935382588089,"Glutamatergic","Kctd20"
"Aqr",0.502125646908165,7.78522093239328,4.32575469155068,2.71238473081046e-05,0.0231874989675159,2.28652638732663,"Glutamatergic","Aqr"
"Numa1",0.479145959968521,7.67485121208954,4.78922082151105,3.88269318922046e-06,0.0106214954884315,4.05838777809687,"Glutamatergic","Numa1"
"Usp8",0.478740718591523,7.74341546560189,4.14656089917712,5.54166106880806e-05,0.0252662800330522,1.67563806952356,"Glutamatergic","Usp8"
"Mien1",0.471801564238588,7.81801923518978,3.7414051531296,0.000257229925984547,0.0424391765460307,0.322989363585473,"Glutamatergic","Mien1"
"Slc25a32",0.465816453034925,7.58461260836453,4.16030873807479,5.25004502859394e-05,0.0252662800330522,1.73430337688449,"Glutamatergic","Slc25a32"
"Gm996",0.461590485680158,7.62130851600821,3.68079994352703,0.000320455066474752,0.0471310150456093,0.126429789208904,"Glutamatergic","Gm996"
"Zfp704",0.450807627181085,7.6664915464316,4.17985634555824,4.8605705950006e-05,0.0252662800330522,1.80066635192212,"Glutamatergic","Zfp704"
"Kmt5a",0.448698155260037,7.71783104751587,4.33507308436859,2.61194562328012e-05,0.0231874989675159,2.34356909433207,"Glutamatergic","Kmt5a"
"Slit2",0.447258677886275,7.68617045395925,4.03173989407929,8.66074100704639e-05,0.0311741093406265,1.28668002772792,"Glutamatergic","Slit2"
"Tmem201",0.446134664673329,7.66414949784498,3.98892625213713,0.000102062018198596,0.0324652159283813,1.14186504006306,"Glutamatergic","Tmem201"
"Lhfp",0.435873939013527,7.58995906935335,4.59392275384955,8.95437250747342e-06,0.0122632037437384,3.32424485237554,"Glutamatergic","Lhfp"
"Cnbd2",0.433349850177022,7.61761401780398,3.73102496347458,0.000267146469867763,0.0424887141261775,0.286512095179169,"Glutamatergic","Cnbd2"
