"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type","SYMBOL"
"Gm10036",-0.0243120705446396,7.62308971174027,-5.33550359986664,9.67851551106398e-08,4.31006263621783e-07,6.4967201546426,"Glutamatergic","Gm10036"
"Gm28151",-0.0243115336903577,7.66718898051808,-3.40935785366932,0.000653022802901346,0.00144964924663833,-1.86482527019807,"Glutamatergic","Gm28151"
"Fzr1",-0.024307936084849,7.74135373664796,-2.80485157503965,0.0050410139376637,0.00981096553703554,-3.68265717886266,"Glutamatergic","Fzr1"
"Gm26593",-0.0243064072106804,7.62367274287516,-5.26833685940225,1.39735635703647e-07,5.82143733075271e-07,6.14262445263135,"Glutamatergic","Gm26593"
"Col13a1",-0.0243057484291631,7.62069856295931,-5.43952872134513,5.43318246604421e-08,2.74535163389831e-07,7.05312929206677,"Glutamatergic","Col13a1"
"Smc1b",-0.0243054925120667,7.62206219272718,-5.36959249231123,8.01929681819592e-08,3.70460143634964e-07,6.67750294573624,"Glutamatergic","Smc1b"
"Tlr9",-0.0243043041788287,7.6219631434977,-5.38933391420392,7.18812902496355e-08,3.41218503032475e-07,6.78348314868138,"Glutamatergic","Tlr9"
"Kmt2b",-0.0243022941963993,7.77078572004468,-2.43492720719685,0.0149073678409601,0.0266199900876232,-4.6258977375977,"Glutamatergic","Kmt2b"
"Dusp13",-0.0243019353952212,7.62279293296853,-5.37258969108692,7.88736820851419e-08,3.66005723293844e-07,6.69442135200159,"Glutamatergic","Dusp13"
"Gm45345",-0.0243018020217169,7.62087485426181,-5.41897750748433,6.09470639868916e-08,2.99002207930163e-07,6.94210360493382,"Glutamatergic","Gm45345"
"Gm15444",-0.0243007939701103,7.62332727140122,-5.3039334534154,1.15083357472587e-07,4.96762112164357e-07,6.32954444779533,"Glutamatergic","Gm15444"
"Dscc1",-0.024299917909973,7.62072053188039,-5.41105965863015,6.36986383283495e-08,3.09881176108578e-07,6.8994160969017,"Glutamatergic","Dscc1"
"Platr15",-0.0242998709366171,7.62087463207026,-5.4101348931278,6.40277522336627e-08,3.1123569377329e-07,6.8945106856826,"Glutamatergic","Platr15"
"Gm37422",-0.0242993933582403,7.62083401775129,-5.46212706739085,4.78609131638209e-08,2.50993909256212e-07,7.17597410396105,"Glutamatergic","Gm37422"
"Gm21833",-0.0242978979163437,7.62044559613005,-5.4300129367835,5.73034396846666e-08,2.85812975570307e-07,7.00143016636917,"Glutamatergic","Gm21833"
"Gm12454",-0.0242965756072326,7.62147812555759,-5.36384408358999,8.278331919102e-08,3.80328451235951e-07,6.64662448726639,"Glutamatergic","Gm12454"
"Mex3b",-0.0242965675938347,7.72794497252997,-2.94425576922935,0.00324272016958921,0.00651976794547004,-3.29436581647388,"Glutamatergic","Mex3b"
"Scd3",-0.0242958584711843,7.62466951551425,-5.26830312266314,1.39761262084998e-07,5.82143733075271e-07,6.14298590627331,"Glutamatergic","Scd3"
"Rbms2",-0.0242955920611578,7.6289224617091,-4.93685872567481,8.03185723921729e-07,2.69038010760182e-06,4.46118869100237,"Glutamatergic","Rbms2"
"Lctl",-0.0242951576123263,7.62044198218286,-5.43017075648037,5.72528946100086e-08,2.85812975570307e-07,7.0022810919776,"Glutamatergic","Lctl"
"Cbs",-0.0242946008236302,7.62198518919051,-5.38694493763341,7.2840875395304e-08,3.44177339678811e-07,6.77058411896233,"Glutamatergic","Cbs"
"Pdlim2",-0.0242924396365671,7.63135226763468,-4.53133724797261,5.91035386919468e-06,1.70829070179124e-05,2.54998398409765,"Glutamatergic","Pdlim2"
"Gm42456",-0.0242920526371995,7.62633113581766,-4.9630422630612,7.02251253033442e-07,2.38466216347871e-06,4.58874157513268,"Glutamatergic","Gm42456"
"Antxr2",-0.024291254090401,7.62739490771972,-4.9966939021609,5.90355435661974e-07,2.04399890832561e-06,4.75607674004787,"Glutamatergic","Antxr2"
"Prkag2os2",-0.0242906687060165,7.62071918374718,-5.4471328820159,5.20650708923168e-08,2.66865475247533e-07,7.09435859040458,"Glutamatergic","Prkag2os2"
"Tmem100",-0.0242906407596246,7.62350052184901,-5.28527015297017,1.27430792497178e-07,5.40436807130642e-07,6.23135099214257,"Glutamatergic","Tmem100"
"Gm43255",-0.0242902868886103,7.62109465109486,-5.34165074722043,9.35657655979521e-08,4.19100923805269e-07,6.52795914286635,"Glutamatergic","Gm43255"
"Arhgap36",-0.0242885661328627,7.62028426476667,-5.44734696399569,5.20025999582478e-08,2.66773100609192e-07,7.09523791067728,"Glutamatergic","Arhgap36"
