SYMBOL,FC,logFC,P.Value,adj.P.Val,AveExpr,t,B
Selenow,-1.11578663,-0.158061169,0.000225082,0.000798504,10.81457064,-3.694820096,-0.664242973
Atp2b1,-1.130368339,-0.176792962,0.000264188,0.000926213,11.07028477,-3.653674655,-0.77771686
Rpl13,-1.119792632,-0.163231592,0.000326861,0.001132612,11.35064353,-3.598363801,-0.943015095
Ubb,1.130761981,0.177295283,0.000337425,0.001155778,11.58005423,3.590035133,-0.952191953
Negr1,1.122192152,0.166319729,0.000381118,0.001290605,11.02490237,3.557994499,-1.129722398
Pcm1,1.106257043,0.14568664,0.00039421,0.001319938,10.76943321,3.549063037,-1.19089662
Snhg20,1.115306035,0.157439634,0.000432463,0.001431932,11.10059907,3.524469972,-1.236829963
Gpm6a,1.115667651,0.157907324,0.00051152,0.001675087,11.23922936,3.47950218,-1.374908415
Hnrnpa2b1,1.111762421,0.152848524,0.000567795,0.001839162,11.26808531,3.451290239,-1.468445551
Arl6ip1,1.110162643,0.150771052,0.00061612,0.001974234,10.88633775,3.429071908,-1.593955294
Gria1,-1.134797751,-0.182435197,0.000644681,0.002043777,11.53481117,-3.416691869,-1.556395606
Ttc14,-1.111642804,-0.152693291,0.000671007,0.002104843,11.54800438,-3.405724875,-1.592386387
Gsk3b,1.107628558,0.147474157,0.00073678,0.002287087,11.0639003,3.379982292,-1.73645242
Mycbp2,1.107447148,0.147237849,0.00075436,0.002317519,11.86935521,3.373463705,-1.675257716
Mapt,1.103506728,0.142095426,0.000824675,0.002493978,11.01837628,3.348729702,-1.847161641
Atrx,-1.1048824,-0.143892822,0.000828536,0.002493978,10.97197685,-3.347428794,-1.85523561
Gng3,1.100646598,0.138351315,0.000936253,0.002790033,10.76143855,3.313236699,-1.994519551
Slc22a17,1.105188473,0.14429242,0.000993415,0.002931065,11.0697522,3.296548339,-2.011821167
Snap25,1.102663013,0.140991954,0.001356804,0.003963995,12.04081999,3.207539718,-2.204724916
Lrrc7,-1.109103612,-0.149394147,0.00160032,0.004630052,11.23759262,-3.159541953,-2.426002775
Cadm2,-1.125207652,-0.170191269,0.001788474,0.005124666,11.80924899,-3.126867334,-2.472927665
Tcaf1,1.091032617,0.125694233,0.002011229,0.005708059,10.78969578,3.092045222,-2.695425337
Zranb2,1.102391097,0.140636142,0.002241113,0.006300487,11.48917764,3.059642319,-2.709462617
Dlgap2,-1.105119788,-0.144202758,0.00237813,0.006623203,11.11416832,-3.041751607,-2.804006321
Rab3c,1.102904719,0.141308161,0.002422571,0.006684501,11.00147657,3.036151446,-2.840074394
Tspan7,1.093240042,0.128610207,0.002958357,0.008087986,10.89945523,2.97515268,-3.035726699
Map2k4,1.087526812,0.12105097,0.00300077,0.008129358,10.74469158,2.970766798,-3.064638195
