SYMBOL,FC,logFC,P.Value,adj.P.Val,AveExpr,t,B
Nxph1,-1.133310915,-0.180543707,0.004016008,0.016202516,10.74883703,-2.880913593,-2.822296216
Sf3b1,1.110799248,0.151598105,0.004397527,0.017590109,10.74616127,2.852043499,-2.904525006
Magi2,1.109997113,0.150555924,0.004491652,0.017705359,10.59312281,2.845271529,-2.941066034
Itm2b,1.119644658,0.163040937,0.004502004,0.017705359,10.6988624,2.844534616,-2.930613855
Slc22a17,1.108704302,0.148874641,0.004691567,0.018297112,10.60581794,2.831304997,-2.978520949
Gm27032,1.108924828,0.149161571,0.004769716,0.018448159,10.52433225,2.825991549,-3.003340848
Kif21a,1.107560617,0.14738566,0.005903933,0.022647874,10.83839831,2.756620135,-3.160017464
Thra,1.107095373,0.146779512,0.006105941,0.023232362,10.33035398,2.745548489,-3.242942123
Arl6ip1,1.105826539,0.1451251,0.006195223,0.023381972,10.36914708,2.740760033,-3.252909927
Gm42418,1.115681461,0.157925181,0.006800436,0.025460832,14.18800219,2.709848745,-3.393624207
Gprasp1,1.106431019,0.145913509,0.007040158,0.026149158,10.487566,2.698285774,-3.355509572
Nrxn3,1.110339184,0.151000455,0.007110143,0.026201157,10.94594909,2.69497679,-3.317528852
Tmx4,1.104916877,0.143937839,0.007210125,0.026362018,10.62715554,2.690299966,-3.359992597
Etl4,-1.11265057,-0.154000582,0.007742202,0.028087988,10.57985676,-2.666349548,-3.428685965
Serinc1,1.101787438,0.13984592,0.007876183,0.028354258,10.38368835,2.660551904,-3.465925163
Scn8a,-1.099162559,-0.136404767,0.007985622,0.028528786,10.45201888,-2.655881488,-3.472908531
Tmsb4x,-1.109475709,-0.149878082,0.008094229,0.02869772,10.50135822,-2.651302959,-3.478494803
Son,1.102847423,0.14123321,0.008315198,0.029259494,11.13774005,2.642155019,-3.445575675
Epha5,1.125897861,0.171075955,0.008649823,0.030209829,11.24522656,2.628707963,-3.476304065
Cox4i1,-1.107513892,-0.147324796,0.008984101,0.031144885,10.73534432,-2.61573173,-3.542531217
Gabbr1,1.09677727,0.133270578,0.009427689,0.03244234,10.39185918,2.599162922,-3.624919481
Galntl6,-1.114222493,-0.156037345,0.010334422,0.035302988,10.52207433,-2.567354191,-3.692113403
Mt3,-1.097272501,-0.133921855,0.010441551,0.035410479,10.30306107,-2.563762037,-3.722409416
Slc6a1,-1.110337444,-0.150998194,0.011293816,0.038025224,10.93982071,-2.536298591,-3.727064097
Rbm39,1.086313108,0.119439991,0.011978615,0.040042797,11.97165705,2.515535869,-3.745247883
Bclaf1,1.094288598,0.129993271,0.012093856,0.04014131,10.41277766,2.512145883,-3.843040002
