SYMBOL,FC,logFC,P.Value,adj.P.Val,AveExpr,t,B
Snhg11,1.622013735,0.697786036,6.18915E-23,1.26878E-20,15.75550106,10.11603473,40.97796096
Meg3,1.536719993,0.619854314,4.07743E-20,4.17937E-18,16.33956076,9.392550743,34.54085325
Ahi1,1.383228729,0.468039739,3.3408E-10,2.28288E-08,12.37822538,6.348373224,12.22988243
Cttnbp2,-1.338343596,-0.42044855,1.97646E-09,1.01294E-07,11.17855468,-6.057577357,10.41344819
Peg3,1.330931483,0.412436302,4.83901E-08,1.984E-06,11.88763386,5.50084248,7.38283043
Nrxn1,1.309354492,0.388855742,1.84897E-07,6.3173E-06,12.71822659,5.252138968,6.096451338
Fth1,-1.305554326,-0.384662491,4.80808E-07,1.40808E-05,11.57601409,-5.068290832,5.143996731
Rsrp1,1.277794081,0.353655362,1.21401E-06,3.11091E-05,12.11366376,4.884310505,4.289311934
Tcf4,-1.337500156,-0.41953906,3.81734E-06,8.69506E-05,12.31639852,-4.647923294,3.195909119
Nap1l5,1.286122837,0.36302844,4.66777E-06,9.56892E-05,11.97316446,4.605323633,2.992106553
Rtn3,1.250890756,0.3229558,1.39144E-05,0.000259313,11.91638166,4.367637792,1.947265581
Ly6h,1.242874093,0.313680154,4.99859E-05,0.000853925,11.87392311,4.074057523,0.729812634
Ttc3,1.190536504,0.251611857,8.21793E-05,0.001295904,13.08370787,3.954820278,0.257326567
Rnpc3,1.213455902,0.279121681,9.87725E-05,0.001446312,11.5878013,3.909911327,0.06023868
Zeb2,-1.237745198,-0.307714352,0.000117744,0.001609168,11.27151112,-3.866588219,-0.146094994
C230004F18Rik,1.222265284,0.289557446,0.000163512,0.002094998,11.76190031,3.784467562,-0.39664006
Gprasp2,1.196806547,0.259189972,0.000216054,0.002472805,11.40856346,3.71355652,-0.695822395
Zcchc18,1.18995954,0.250912521,0.000219034,0.002472805,11.36127606,3.710039394,-0.714105021
Cntnap2,1.232466636,0.301548592,0.000229187,0.002472805,11.29932634,3.698388676,-0.763547171
Malat1,1.151922457,0.204043603,0.000303929,0.003115274,17.59054208,3.625083702,-1.147141446
Srrm2,1.196585603,0.25892361,0.000396823,0.003873746,11.79035666,3.55463015,-1.223252443
Gapdh,1.204589521,0.268541614,0.000678835,0.006057086,12.10470949,3.409039334,-1.703376967
Mef2c,-1.203876866,-0.267687839,0.000679576,0.006057086,11.41711812,-3.408738138,-1.764640935
Pcsk1n,1.205722245,0.2698976,0.000711693,0.006079045,12.02004276,3.395966655,-1.750382613
Lrp1b,1.205067827,0.269114351,0.000782579,0.006417152,11.85161851,3.369577604,-1.849190292
Snrnp70,1.177868691,0.236178716,0.000924887,0.007292379,11.64912496,3.322710756,-2.023552256
Rtn1,1.194897006,0.25688627,0.001031039,0.007828261,12.45139851,3.291929814,-2.090086416
Hnrnpu,1.172365014,0.22942182,0.001173213,0.008589595,11.89790963,3.255013341,-2.219249575
Csmd3,1.17566944,0.233482478,0.001503859,0.010630729,11.68428838,3.183046254,-2.468243258
Atp1a3,1.166696506,0.222429321,0.001693709,0.01129116,11.9983368,3.148097685,-2.550859479
Cit,1.186768641,0.247038711,0.001707444,0.01129116,11.40365517,3.145711705,-2.616914088
Atp1b1,1.187497001,0.24792387,0.001844659,0.011817346,12.65626736,3.122798569,-2.630134571
Epha5,1.18840389,0.249025233,0.002207558,0.013713618,11.88571073,3.069010302,-2.801940379
Olfm1,-1.172072399,-0.229061688,0.002604003,0.015670173,11.27439215,-3.018839373,-3.022281839
Grin2b,-1.166402414,-0.222065611,0.002675395,0.015670173,11.9152533,-3.010557028,-2.970936217
Zcchc7,1.145667329,0.196188185,0.003094643,0.017622272,11.24074171,2.965649944,-3.179426909
Rbm39,1.138809659,0.187526634,0.004894177,0.027116384,12.47198553,2.820417852,-3.513874775
Tecr,1.141738405,0.191232139,0.005698358,0.030741144,11.29593713,2.770841035,-3.726259071
Gm42418,1.155413642,0.208409434,0.006932291,0.036438963,14.77307071,2.705876948,-3.888253044
App,1.158249788,0.211946419,0.007642165,0.039166096,12.22625543,2.673089817,-3.912698577
Ppp3ca,-1.144053829,-0.194154934,0.008058147,0.040290735,11.30476388,-2.655127226,-4.038713091
Tro,1.135060732,0.182769492,0.009588355,0.046800302,11.52263506,2.595503125,-4.166780238
Aplp1,-1.126989236,-0.172473736,0.010344808,0.04931827,11.23765969,-2.569114669,-4.270205933
Cntn5,1.152592436,0.204882458,0.010848299,0.050543213,11.33220303,2.55248873,-4.298069947
Kif21a,1.127146554,0.172675111,0.015429832,0.070291458,11.71232442,2.426436114,-4.564891818
Aplp2,1.129547414,0.175744831,0.017398397,0.077171547,11.47375473,2.382276529,-4.699176688
Srsf5,1.115811767,0.15809367,0.017692989,0.077171547,11.27182264,2.376050396,-4.736248059
Phf20l1,-1.122395105,-0.166580622,0.019000712,0.080836841,11.37157407,-2.349464827,-4.788208165
Chn1,-1.125679446,-0.170796057,0.019321977,0.080836841,11.2758875,-2.343179617,-4.815735474
Gabra1,-1.140326268,-0.189446665,0.020353361,0.083448779,11.47261378,-2.323601552,-4.835893661
Nrxn3,1.143072735,0.192917207,0.022020296,0.088512955,12.00626242,2.293719288,-4.851734404
Atp2b1,-1.131313904,-0.177999287,0.023441486,0.09241355,11.42247123,-2.269760947,-4.964578631
Rps8,-1.123998828,-0.168640531,0.024217905,0.093673027,11.65235426,-2.257200995,-4.963264292
Myt1l,1.112524712,0.153837382,0.025645868,0.096551602,11.5904977,2.23498682,-5.022231149
Srrm1,1.107163463,0.146868239,0.025904088,0.096551602,11.12875935,2.231084788,-5.086099516
Ogt,1.120582827,0.164249288,0.026812499,0.098152896,11.86728753,2.21762,-5.030512175
Dnm3,1.10909218,0.149379278,0.027608232,0.09915915,11.1451205,2.206145732,-5.138866273
Ndfip1,1.115017509,0.157066365,0.028054784,0.09915915,11.51910451,2.19983117,-5.108688582
Prpf4b,1.103869603,0.142569761,0.029776805,0.10346178,11.18864982,2.176265222,-5.197953617
Srsf7,1.11021237,0.150835672,0.032287623,0.110316044,11.52208156,2.143925306,-5.228877403
Srsf11,1.108401249,0.148480241,0.039269511,0.130049033,12.187469,2.064152034,-5.342842003
Rpl13,-1.107515249,-0.147326563,0.039331903,0.130049033,11.61723989,-2.063495693,-5.383862526
Stmn3,1.103495984,0.142081379,0.044514251,0.143491448,11.32102161,2.011834964,-5.524546476
Eef1a1,-1.103333596,-0.14186906,0.045077668,0.143491448,11.36066779,-2.006530225,-5.53146025
Atp6v0b,1.105179134,0.14428023,0.045497289,0.143491448,12.1422855,2.002615636,-5.467735003
Vsnl1,1.10515787,0.14425247,0.049213375,0.152859725,11.25142206,1.96921614,-5.61662961
