SYMBOL,FC,logFC,P.Value,adj.P.Val,AveExpr,t,B
Rtn1,1.555810274,0.637666139,1.09097E-05,0.004243872,12.03131005,4.464734994,3.094675065
Ahi1,1.479407986,0.565019969,6.34233E-05,0.012335824,11.71522445,4.050060215,1.537301603
Serinc1,1.396912147,0.482241291,0.000182943,0.020748721,10.5715496,3.782994735,0.590782453
Hspa8,1.446235136,0.532302132,0.000339991,0.020748721,11.63801681,3.619403449,0.059110325
App,1.481977765,0.567523802,0.000360309,0.020748721,12.07426024,3.603774536,0.01131581
Meg3,1.343184103,0.425657061,0.000369506,0.020748721,16.06815377,3.596970317,-0.052372672
Snhg11,1.353140035,0.43631115,0.000416377,0.020748721,15.60386828,3.564588106,-0.151268402
Vstm2a,1.422032351,0.507954286,0.000426709,0.020748721,11.09849159,3.557912128,-0.148373166
Atp1b1,1.47357969,0.559325083,0.000668123,0.028877775,12.41704047,3.433945849,-0.523406655
Tubb2a,1.338895144,0.42104298,0.000946732,0.036491469,10.52823955,3.335017963,-0.86428987
Gnas,1.397559962,0.482910183,0.001130555,0.036491469,11.24612882,3.283730464,-0.997085951
Eef1a1,1.337713843,0.419769535,0.001172136,0.036491469,10.87050374,3.27321162,-1.039904749
Rtn3,1.360147453,0.443763062,0.001219509,0.036491469,11.66499391,3.261641642,-1.051905372
Nap1l5,1.398308592,0.483682783,0.001704813,0.047369455,11.75152221,3.16245612,-1.33907145
Peg3,1.375744309,0.460212361,0.002029215,0.052624315,11.71515892,3.109881757,-1.489516463
Thra,1.320286653,0.400851194,0.002358321,0.057336677,10.83706378,3.063938834,-1.648848494
Srrm2,1.325564009,0.406606337,0.002980629,0.068203815,11.22504708,2.991234321,-1.83542577
Ttc14,-1.298441483,-0.376780998,0.003313906,0.071617196,11.35410181,-2.957860326,-1.92004972
Hspa4,1.275738177,0.351332272,0.003865334,0.076710397,10.44127519,2.908854173,-2.092757855
Rps24,-1.294797812,-0.372726833,0.003943979,0.076710397,10.3544075,-2.902392605,-2.115064728
Cltc,1.281180732,0.357474006,0.005438847,0.099844215,10.59156844,2.797703257,-2.378818132
Syn2,1.287479784,0.36454978,0.005739392,0.099844215,11.40589626,2.779878781,-2.386119138
Pcsk1n,1.314730778,0.394767404,0.005903385,0.099844215,11.5135381,2.770506399,-2.405671272
Sorbs2,-1.286778189,-0.363763387,0.006376492,0.102261515,10.565286,-2.744731099,-2.516305746
Rtn4,1.283031983,0.359557134,0.006572077,0.102261515,10.65333862,2.734577877,-2.537374468
Rab3a,1.263391176,0.337301401,0.008385546,0.117101183,10.67582514,2.651574926,-2.743285203
Gad2,1.291850696,0.369439343,0.008415544,0.117101183,11.01778896,2.650343495,-2.728140124
Golgb1,-1.252685227,-0.325023942,0.008467811,0.117101183,10.34439272,-2.648207266,-2.770122679
Ankrd12,1.263474682,0.337396756,0.008776528,0.117101183,10.78130683,2.63582591,-2.776387063
Cst3,1.272775825,0.347978339,0.00903094,0.117101183,10.63714404,2.625912927,-2.807971394
Slc25a4,1.258145174,0.331298401,0.00939041,0.117834496,10.63520353,2.612325016,-2.841136254
Rab3c,1.306173129,0.385346134,0.009983983,0.121367799,11.21263551,2.59087594,-2.862490119
Atp6v0c,1.297300376,0.375512559,0.011198657,0.132008416,11.52056566,2.550322396,-2.942785962
Cnr1,1.434292258,0.520339024,0.013207716,0.151111813,13.25442529,2.491147886,-3.062725407
Fth1,-1.268971294,-0.343659434,0.013897879,0.152199116,11.0005643,-2.47266164,-3.148457477
Rpsa,-1.254657985,-0.327294144,0.014085265,0.152199116,10.62808486,-2.46778313,-3.182342303
Gapdh,1.283310726,0.35987053,0.015254171,0.15599353,11.74066351,2.438588238,-3.189712991
Fubp1,-1.251933386,-0.3241578,0.015475939,0.15599353,10.68391681,-2.433273973,-3.257713007
Tcf25,1.243412095,0.314304517,0.015639454,0.15599353,10.81850935,2.42939858,-3.258723059
Fam171b,1.256683289,0.329621106,0.016849867,0.16294648,10.92993987,2.401774737,-3.31387265
Tmx4,1.239501369,0.309759865,0.017787643,0.16294648,10.92731883,2.38155148,-3.358914611
Actg1,1.238186607,0.308228759,0.017919973,0.16294648,10.79698831,2.378773768,-3.373083339
Trim35,-1.230811201,-0.299609478,0.018012079,0.16294648,10.63261011,-2.376851021,-3.386966344
Hsp90b1,1.237115699,0.306980432,0.019296308,0.170596902,10.7938142,2.350905246,-3.434448575
Thy1,1.227848225,0.29613224,0.021119891,0.175450624,10.55156816,2.316552782,-3.523869579
