SYMBOL,FC,logFC,P.Value,adj.P.Val,AveExpr,t,B
Ahi1,1.39511814,0.480387296,1.33537E-57,9.49445E-55,11.38806903,16.20807832,120.0269462
Fth1,-1.336279602,-0.418221908,4.79529E-36,1.70472E-33,11.24584146,-12.63639156,70.95618089
Celf4,1.312560889,0.39238435,5.64581E-31,1.33806E-28,10.71039634,11.65271419,59.43526293
Lrp1b,1.348105978,0.430933915,4.73415E-28,8.41495E-26,10.7716166,11.04875495,52.79946295
Brd9,-1.264868783,-0.338987728,1.20162E-27,1.7087E-25,9.786166122,-10.96273956,51.87423113
Nrxn1,1.239191328,0.309398953,4.27002E-25,5.05997E-23,11.39908674,10.40508276,46.09304961
Ptprd,1.365787223,0.449732743,9.13273E-24,9.27624E-22,11.76019688,10.10283135,43.0747996
AC149090.1,1.285793096,0.362658509,4.24498E-23,3.77273E-21,10.80075139,9.947959352,41.57212117
Pcsk1n,1.244943761,0.316080571,2.87176E-22,2.26869E-20,10.53563206,9.752027699,39.69244769
Negr1,1.261279025,0.334887469,1.40456E-21,9.98642E-20,9.923583129,9.586478127,38.12252131
Epha6,-1.265233644,-0.339403825,5.22156E-21,3.37502E-19,10.03202716,-9.447472253,36.83300768
Mef2c,1.345718237,0.428376373,6.47686E-21,3.83754E-19,10.43884707,9.424480441,36.62868666
Atp2b1,-1.254059655,-0.326605978,5.35923E-19,2.93109E-17,11.58987094,-8.940973718,32.28362345
Rps19,-1.196998404,-0.259421229,4.16429E-17,2.11487E-15,9.661820506,-8.438859895,28.00382223
Ttc3,1.149703563,0.201261928,1.12779E-16,5.34571E-15,12.04355599,8.319915409,27.03132965
Gm42418,1.187253065,0.24762748,7.21839E-16,3.20767E-14,14.09183451,8.093887864,25.25074093
Gria1,-1.22164822,-0.288828913,1.56653E-15,6.55176E-14,10.45243523,-7.99776423,24.47289604
Zwint,1.174739405,0.232340757,2.31848E-15,9.15798E-14,9.650323221,7.948707789,24.06783591
Rps7,-1.181840786,-0.241035693,3.05394E-15,1.14282E-13,9.699330991,-7.914060238,23.79717921
Nkain2,1.194573618,0.256495766,6.56708E-15,2.3346E-13,10.12879517,7.817018499,23.06209211
Zeb2,-1.204450591,-0.268375213,8.76699E-15,2.96825E-13,9.868939289,-7.780100983,22.7691793
Arpp21,1.191744327,0.253074758,2.11119E-14,6.82298E-13,11.57920727,7.666774466,21.91496549
9530059O14Rik,-1.203490697,-0.26722499,2.31191E-14,7.1468E-13,10.51097504,-7.654972829,21.84151279
Ly6h,1.197698074,0.260264266,2.63973E-14,7.8202E-13,10.90884694,7.637710624,21.70982043
