SYMBOL,FC,logFC,P.Value,adj.P.Val,AveExpr,t,B
Ahi1,1.397679434,0.483033508,3.48588E-43,1.78477E-40,11.91637148,13.94557403,87.09055707
AC149090.1,1.343415082,0.425905131,5.2725E-27,1.34976E-24,11.17525147,10.84085569,50.43909589
Atp1b1,1.244158304,0.315170062,1.60059E-16,2.73167E-14,11.44545005,8.284947327,26.7821642
Pcsk1n,1.218609114,0.285235435,6.44145E-15,7.38636E-13,10.97680683,7.825575092,23.16706947
Rtn1,1.23120222,0.300067738,7.21324E-15,7.38636E-13,11.9105036,7.811106208,23.0708165
Fth1,-1.20700187,-0.271427912,2.49822E-14,2.13182E-12,11.33992439,-7.650587883,21.85200658
Gapdh,1.226755028,0.294847184,6.56892E-14,4.8047E-12,11.44710848,7.523442712,20.9120504
Srrm2,1.197380926,0.259882194,1.57026E-13,1.00497E-11,11.12962039,7.407074955,20.05741905
Meg3,1.236345804,0.306082319,1.33295E-12,7.54004E-11,15.40394213,7.113934542,18.03795011
Kcnip4,1.256290593,0.329170214,1.47266E-12,7.54004E-11,10.95736737,7.099995683,17.87459971
Snhg11,1.218519792,0.285129685,2.04695E-12,9.52762E-11,14.9411026,7.053765761,17.61609855
Actg1,1.184000276,0.243669417,2.75219E-12,1.17427E-10,10.54911153,7.011957228,17.24961985
Rsrp1,1.188316627,0.248919294,2.98695E-12,1.1764E-10,11.85894669,7.000356406,17.2047038
Map1b,1.199262691,0.262147707,3.89545E-12,1.42462E-10,11.50616152,6.962594848,16.94129628
Csmd1,1.184753911,0.244587424,6.24765E-12,2.13253E-10,11.62978798,6.89494207,16.48451669
Atp6v0c,1.202187095,0.265661438,1.10722E-11,3.54309E-10,10.89985881,6.812148576,15.91235521
Syt1,1.193998275,0.255800752,1.98475E-11,5.67153E-10,13.01105558,6.726719763,15.38370077
Gm27032,1.168437393,0.224580434,1.9939E-11,5.67153E-10,10.41570467,6.726042779,15.31633014
Auts2,1.179177099,0.237780412,2.28925E-11,6.04422E-10,10.24344998,6.705672908,15.17240663
Aldoa,1.186874271,0.247167115,2.36102E-11,6.04422E-10,10.74151795,6.70111272,15.17103295
Malat1,1.161175237,0.21558571,3.3227E-11,8.10106E-10,17.17898463,6.650442902,14.94530723
