SYMBOL,FC,logFC,P.Value,adj.P.Val,AveExpr,t,B
Gnas,1.152233017,0.204432504,0.000728031,0.006570127,10.57998305,3.385856667,-0.862084803
Tro,1.145015462,0.19536708,0.000731325,0.006570127,10.02558492,3.384608069,-0.89323629
Dab1,1.1538015,0.206395045,0.000745958,0.006595218,10.12815206,3.379123212,-0.905128115
Aldoa,1.150487594,0.202245427,0.000786189,0.006842298,10.60208579,3.364544279,-0.93097496
Thra,1.134469358,0.182017642,0.001011311,0.008541317,10.01941157,3.293889463,-1.187368373
Osbpl1a,-1.153947631,-0.206577753,0.001012077,0.008541317,10.73222171,-3.293675183,-1.156425537
Clstn1,-1.141987985,-0.191547472,0.001177356,0.009666871,10.18127976,-3.250599332,-1.313319591
Pcdh9,1.143811123,0.19384884,0.001180157,0.009666871,10.91925769,3.249918781,-1.297315643
Syn2,1.148343769,0.199554593,0.001249484,0.010086412,10.78022581,3.233533373,-1.347268493
Rtn3,1.136120722,0.184116141,0.001315604,0.010468448,11.25752468,3.218670916,-1.407061812
Mir124a-1hg,-1.134030891,-0.18145994,0.001362658,0.010690148,11.24551241,-3.20850872,-1.439478636
Ly6e,-1.137080087,-0.185333871,0.001424327,0.010900809,10.0325783,-3.195669886,-1.494677583
Lingo1,-1.139791739,-0.188770241,0.001428652,0.010900809,10.28019713,-3.194788921,-1.481779546
Calm1,-1.135491698,-0.183317158,0.001752678,0.013192458,11.81478636,-3.13490498,-1.707295276
Gda,1.130072449,0.176415267,0.00186575,0.013856301,10.05184281,3.116395967,-1.737291032
Rbm39,1.122289223,0.166444517,0.001937432,0.014199334,11.52431506,3.105189435,-1.771893086
Pcsk1n,1.130116977,0.176472111,0.002149895,0.015551835,11.05997814,3.074079953,-1.83941917
Mt3,-1.125230929,-0.170221113,0.002290764,0.016358407,9.953970681,-3.054974486,-1.927190322
Rab3a,1.132007353,0.178883329,0.002337333,0.016479677,10.30038898,3.048895224,-1.923384972
Stx1a,-1.128373681,-0.174244921,0.002371136,0.016509037,10.06230119,-3.04455155,-1.950227215
Actg1,1.131072388,0.177691265,0.002502163,0.017206233,10.31818106,3.028234201,-1.983371175
Atp11b,1.132528061,0.179546797,0.002706249,0.018382689,10.18924589,3.004314287,-2.060717797
Stxbp5l,-1.121319903,-0.165197926,0.003970959,0.026648486,10.25603197,-2.884962446,-2.396641305
Ptpn5,-1.120637904,-0.164320196,0.004116393,0.027295606,10.04459563,-2.873555402,-2.442856346
Pak7,-1.119059708,-0.162287014,0.004401481,0.028723211,10.03026157,-2.852218619,-2.503146847
Cacna1e,1.117934251,0.160835342,0.004464832,0.028723211,9.997998442,2.847648034,-2.519166859
Csnk1a1,-1.122353354,-0.166526955,0.00448639,0.028723211,10.37714178,-2.8461061,-2.497447361
Gpm6a,1.125038903,0.169974889,0.004622059,0.029255531,10.67074849,2.836553919,-2.514820287
Rtn4,1.120532198,0.164184104,0.005480327,0.034298228,10.6319181,2.781424056,-2.665629657
Baiap2,-1.114086248,-0.155860924,0.005708921,0.035331876,10.1641383,-2.768062787,-2.72311185
Atp1a3,1.119145175,0.162397194,0.005907586,0.036159619,10.84309087,2.756837521,-2.730899642
Ankrd12,1.116203813,0.15860048,0.006613381,0.040039712,10.2284008,2.719533886,-2.849177525
Prnp,1.116225977,0.158629127,0.006823989,0.040870557,10.24123431,2.709097381,-2.875931438
Tspyl4,1.109526988,0.14994476,0.008165151,0.048382862,10.15787155,2.64871942,-3.038351489
Sv2b,1.110781066,0.15157449,0.008453362,0.049563395,10.46222249,2.636917275,-3.051881064
App,1.115232382,0.157344357,0.009245852,0.053283439,11.36081376,2.60622917,-3.144112198
Arpp19,-1.105574785,-0.144796617,0.009279163,0.053283439,10.05036963,-2.604991503,-3.157407545
Cacnb4,-1.109173797,-0.14948544,0.009753014,0.055432949,10.05023609,-2.587801687,-3.200798217
Rims2,-1.108589202,-0.14872486,0.010507542,0.058789907,10.16340302,-2.561909458,-3.25691489
