SYMBOL,FC,logFC,P.Value,adj.P.Val,AveExpr,t,B
Ank3,1.102021085,0.140151827,1.63166E-06,1.24924E-05,10.51799266,4.799670603,4.42961908
Rbfox1,1.107318226,0.14706989,1.77748E-06,1.34685E-05,10.06337255,4.782425924,4.33523657
Taf15,-1.094246082,-0.129937218,1.89357E-06,1.42018E-05,9.638989534,-4.769642045,4.247535783
Uchl1,1.098625626,0.135699848,2.26656E-06,1.68275E-05,9.968806372,4.733141622,4.097637824
Scg5,1.095814622,0.13200376,2.36742E-06,1.74006E-05,9.626283536,4.724264277,4.034190852
Sfpq,1.09790508,0.13475333,2.51505E-06,1.83026E-05,10.17210785,4.711904951,4.010563985
Mapk1,1.099908855,0.137383978,2.7606E-06,1.98926E-05,10.27722859,4.692812373,3.926011282
Tspyl4,1.093557519,0.129029105,2.97093E-06,2.12003E-05,9.720519407,4.677713296,3.823295175
Ptprs,1.098940435,0.136113191,3.38708E-06,2.39376E-05,10.23632272,4.650644363,3.730093359
Prnp,1.101365563,0.139293405,4.4459E-06,3.11213E-05,10.18374191,4.594012078,3.469290698
Rps8,-1.101565656,-0.139555486,4.73414E-06,3.28263E-05,10.24400508,-4.580842418,3.41387107
Hnrnph3,1.093725683,0.129250941,4.90498E-06,3.36931E-05,9.736028008,4.573395038,3.347398201
Tmeff2,1.092801512,0.128031384,9.276E-06,6.26648E-05,9.621986942,4.437596361,2.735918799
Clk4,-1.089877873,-0.124166482,9.29315E-06,6.26648E-05,9.683567296,-4.437196979,2.737643995
2010300C02Rik,1.087537029,0.121064523,1.01296E-05,6.76842E-05,9.687971469,4.418535608,2.656225354
Megf9,1.086817092,0.120109159,1.07509E-05,7.11884E-05,9.643749787,4.405604434,2.597253058
Sptbn1,1.091964095,0.12692542,1.10638E-05,7.13547E-05,10.50314005,4.399359485,2.611372467
Thra,1.094561923,0.130353575,1.11465E-05,7.13547E-05,10.22759772,4.397738165,2.599551922
Dtx3,1.090042139,0.124383908,1.11521E-05,7.13547E-05,9.938989826,4.39762776,2.582221472
Cadm3,1.090829491,0.12542561,1.11643E-05,7.13547E-05,9.812295793,4.397389208,2.572021304
Mir124-2hg,1.093451516,0.128889252,1.3134E-05,8.32196E-05,9.741362782,4.36185631,2.413500722
Negr1,1.100896675,0.138679071,1.41212E-05,8.871E-05,10.30689058,4.345921482,2.378261908
Ppm1e,1.086207343,0.119299521,1.98485E-05,0.000123633,9.906682432,4.270345829,2.034623619
